,feature,importance
0,mer8,0.5164437924082564
1,mer7,0.1808512230627082
2,mer6,0.10002114668016172
3,cpg,0.0323160587006744
4,gc,0.019425327675262814
5,gcs,0.01815321076510494
6,cm2,0.018107901973364243
7,cwf,0.01603750211150413
8,cm1,0.015752602162471756
9,ce,0.015616265704157863
10,ct6,0.008080317516114434
11,ct4,0.007822274566649556
12,ct5,0.007718043608872957
13,ct3,0.007016737897759913
14,cm3,0.006267985453294689
15,cl5,0.005096308863188991
16,cl6,0.005053558654953901
17,cl4,0.005043645907053773
18,cl3,0.004562237945994944
19,cl2,0.003617641343795305
20,ct2,0.0035386491626875623
21,cm4,0.0022330714822234787
22,cm5,0.0005897582587545497
23,ct1,0.0002537169775596664
24,cl1,0.00022658054001087704
25,cm6,0.0001544405774189951
