n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.024291515350341797,0.0,184.97096991539001,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8033678302052271,0.8033678302052271,0.0,8
26,0.021376848220825195,0.0,162.55925226211548,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8171836876960614,0.8171836876960614,0.0,2
26,0.02036452293395996,0.0,186.96773147583008,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7939965223757663,0.7939965223757663,0.0,10
26,0.02337479591369629,0.0,164.3265221118927,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8071005917159764,0.8071005917159764,0.0,5
26,0.025292634963989258,0.0,186.81747031211853,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8050749711649366,0.8050749711649366,0.0,7
26,0.02030658721923828,0.0,164.03269910812378,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8181497797356828,0.8181497797356828,0.0,1
26,0.02237701416015625,0.0,187.29561829566956,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7920720065460496,0.7920720065460496,0.0,12
26,0.02329230308532715,0.0,163.00629138946533,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8097728092318788,0.8097728092318788,0.0,4
26,0.024291515350341797,0.0,187.59469962120056,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.7997147695873073,0.7997147695873073,0.0,9
26,0.021364450454711914,0.0,163.51964449882507,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8131205673758864,0.8131205673758864,0.0,3
26,0.024291515350341797,0.0,178.78647208213806,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.7922951117572233,0.7922951117572233,0.0,11
26,0.024291515350341797,0.0,161.12601804733276,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8060994315618515,0.8060994315618515,0.0,6
25,0.1645340919494629,0.0,48.464627265930176,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",,,,-2147483648
25,0.1645340919494629,0.0,67.48872709274292,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.820955369595537,0.820955369595537,0.0,-2147483648
25,0.17005300521850586,0.0,75.98756384849548,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7980954125080121,0.7980954125080121,0.0,-2147483648
25,0.1398453712463379,0.0,71.26972675323486,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8105798945646246,0.8105798945646246,0.0,-2147483648
25,0.15918445587158203,0.0,48.988389015197754,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",,,,-2147483648
25,0.14803838729858398,0.0,72.05651044845581,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8199841395717685,0.8199841395717685,0.0,-2147483648
25,0.1938645839691162,0.0,76.10724949836731,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7996019180313036,0.7996019180313036,0.0,-2147483648
25,0.10228300094604492,0.0,68.82977414131165,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8109425785482123,0.8109425785482123,0.0,-2147483648
25,0.1260673999786377,0.0,75.25107073783875,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.803523758675921,0.803523758675921,0.0,-2147483648
25,0.09852099418640137,0.0,66.50316977500916,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8144804390157551,0.8144804390157551,0.0,-2147483648
25,0.1663525104522705,0.0,48.81245994567871,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",,,,-2147483648
25,0.13337230682373047,0.0,61.92852759361267,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8067014952260854,0.8067014952260854,0.0,-2147483648
24,0.1938920021057129,0.0,232.2879776954651,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8072510727734478,0.8072510727734478,0.0,7
24,0.24314284324645996,0.0,223.2523558139801,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.820955369595537,0.820955369595537,0.0,1
24,0.2534351348876953,0.0,219.70790481567383,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7980954125080121,0.7980954125080121,0.0,11
24,0.28858041763305664,0.0,193.06342434883118,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8105798945646246,0.8105798945646246,0.0,5
24,0.35666394233703613,0.0,233.69864702224731,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8101556970983722,0.8101556970983722,0.0,6
24,0.2976193428039551,0.0,230.140625,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8199841395717685,0.8199841395717685,0.0,2
24,0.11967229843139648,0.0,240.63554763793945,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7996019180313036,0.7996019180313036,0.0,10
24,0.20623016357421875,0.0,218.80761075019836,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8109425785482123,0.8109425785482123,0.0,4
24,0.15646862983703613,0.0,230.2222056388855,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.8036302162114067,0.8036302162114067,0.0,9
24,0.14796018600463867,0.0,231.5108199119568,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8144804390157551,0.8144804390157551,0.0,3
24,0.16359567642211914,0.0,234.50815510749817,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.7965242577842143,0.7965242577842143,0.0,12
24,0.14932632446289062,0.0,194.43453407287598,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8067014952260854,0.8067014952260854,0.0,8
23,0.5075569152832031,0.0,96.99344372749329,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",,,,-2147483648
23,0.8596675395965576,0.0,129.79093265533447,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8205754141238012,0.8205754141238012,0.0,-2147483648
23,0.6668426990509033,0.0,145.61013460159302,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7995608818955265,0.7995608818955265,0.0,-2147483648
23,0.509286642074585,0.0,149.6263861656189,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8113361794895086,0.8113361794895086,0.0,-2147483648
23,0.8309183120727539,0.0,135.43186116218567,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8105430744737309,0.8105430744737309,0.0,-2147483648
23,0.34911537170410156,0.0,124.94412469863892,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8213155117833275,0.8213155117833275,0.0,-2147483648
23,0.5406579971313477,0.0,151.4981415271759,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8011584758801701,0.8011584758801701,0.0,-2147483648
23,0.4823882579803467,0.0,147.8419280052185,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.8133729836892855,0.8133729836892855,0.0,-2147483648
23,0.48770952224731445,0.0,125.71024990081787,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.8049127803488786,0.8049127803488786,0.0,-2147483648
23,0.18868613243103027,0.0,127.12035393714905,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.8159177523708234,0.8159177523708234,0.0,-2147483648
23,0.20008015632629395,0.0,154.40924906730652,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.7991673454611278,0.7991673454611278,0.0,-2147483648
23,0.4599571228027344,0.0,150.39640617370605,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.8089441889820577,0.8089441889820577,0.0,-2147483648
22,0.27483582496643066,0.0,159.93856406211853,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.8081639803784163,0.8081639803784163,0.0,8
22,0.2758290767669678,0.0,157.60363578796387,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.8219201951559505,0.8219201951559505,0.0,1
22,0.25492382049560547,0.0,176.53640794754028,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.799780481112229,0.799780481112229,0.0,11
22,0.22330784797668457,0.0,157.9727144241333,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.8122897918371056,0.8122897918371056,0.0,5
22,0.16325592994689941,0.0,160.5464689731598,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.8118531623175587,0.8118531623175587,0.0,6
22,0.1800708770751953,0.0,158.17999601364136,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.821770860810692,0.821770860810692,0.0,2
22,0.17903518676757812,0.0,163.0717260837555,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.8009765801609549,0.8009765801609549,0.0,10
