n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'n_neighbors': 5, 'p': 2}",0.8211770842388941,"{'n_neighbors': 15, 'p': 2}",0.8185451638689047,"{'n_neighbors': 5, 'p': 2}",0.8157734734647789,"{'n_neighbors': 15, 'p': 2}",0.8181497797356828,"{'n_neighbors': 5, 'p': 2}",0.8169063180827887,0.8181103638782098,0.001816929359893826
25,"{'n_neighbors': 5, 'p': 2}",0.8207579972183587,"{'n_neighbors': 15, 'p': 2}",0.8206810925860234,"{'n_neighbors': 5, 'p': 2}",0.8174320687559684,"{'n_neighbors': 5, 'p': 1}",,"{'n_neighbors': 15, 'p': 2}",0.8208255988685583,0.8199241893572273,0.0014397345454443629
24,"{'n_neighbors': 5, 'p': 2}",0.8207579972183587,"{'n_neighbors': 15, 'p': 2}",0.8207538802660753,"{'n_neighbors': 5, 'p': 2}",0.8174320687559684,"{'n_neighbors': 5, 'p': 2}",0.820955369595537,"{'n_neighbors': 15, 'p': 2}",0.8208255988685583,0.8201449829408995,0.00135841160203916
23,"{'n_neighbors': 5, 'p': 2}",0.8219249478804725,"{'n_neighbors': 15, 'p': 2}",0.8218278615794145,"{'n_neighbors': 5, 'p': 2}",0.8175271149674621,"{'n_neighbors': 5, 'p': 1}",,"{'n_neighbors': 15, 'p': 2}",0.8210563504681151,0.820584068723866,0.0017967327218369235
22,"{'n_neighbors': 5, 'p': 2}",0.822089085699401,"{'n_neighbors': 15, 'p': 2}",0.8226522279424818,"{'n_neighbors': 5, 'p': 2}",0.8185368393647489,"{'n_neighbors': 5, 'p': 2}",0.8219201951559505,"{'n_neighbors': 15, 'p': 2}",0.8214916931778014,0.8213380082680768,0.0014491651741122093
21,"{'n_neighbors': 5, 'p': 2}",0.8226913387194857,"{'n_neighbors': 15, 'p': 2}",0.8230912476722533,"{'n_neighbors': 5, 'p': 2}",0.8189632716853348,"{'n_neighbors': 15, 'p': 2}",0.8218840707186208,"{'n_neighbors': 15, 'p': 2}",0.8215137331096001,0.821628732381059,0.0014457652940195595
20,"{'n_neighbors': 5, 'p': 2}",0.823651992706434,"{'n_neighbors': 15, 'p': 2}",0.8234772586222182,"{'n_neighbors': 5, 'p': 2}",0.8190343869399097,"{'n_neighbors': 15, 'p': 2}",0.8214694236691596,"{'n_neighbors': 15, 'p': 2}",0.8233218664549704,0.8221909856785384,0.0017636722077414141
19,"{'n_neighbors': 5, 'p': 2}",0.8242445293504689,"{'n_neighbors': 15, 'p': 2}",0.8239673816699167,"{'n_neighbors': 5, 'p': 2}",0.8193022044783891,"{'n_neighbors': 5, 'p': 2}",0.821437908496732,"{'n_neighbors': 15, 'p': 2}",0.8234153222251608,0.8224734692441334,0.0018646619827755752
18,"{'n_neighbors': 5, 'p': 2}",0.827388202540456,"{'n_neighbors': 15, 'p': 2}",0.8247202983484284,"{'n_neighbors': 5, 'p': 2}",0.8210562890896457,"{'n_neighbors': 15, 'p': 2}",0.8254414477729948,"{'n_neighbors': 15, 'p': 2}",0.8264666960741067,0.8250145867651263,0.0021762173500860546
17,"{'n_neighbors': 5, 'p': 2}",0.8270519627469755,"{'n_neighbors': 15, 'p': 2}",0.8265931917162919,"{'n_neighbors': 5, 'p': 1}",,"{'n_neighbors': 5, 'p': 2}",0.826534170153417,"{'n_neighbors': 15, 'p': 2}",0.8278717406624384,0.8270127663197807,0.0005348996213309327
16,"{'n_neighbors': 5, 'p': 2}",0.8308388444135051,"{'n_neighbors': 15, 'p': 2}",0.8284927613464784,"{'n_neighbors': 5, 'p': 2}",0.8255844268706004,"{'n_neighbors': 15, 'p': 2}",0.8317371057024866,"{'n_neighbors': 5, 'p': 1}",0.821487747449202,0.8276281771564544,0.0037368697080356053
15,"{'n_neighbors': 5, 'p': 2}",0.8341001823074919,"{'n_neighbors': 15, 'p': 2}",0.8309846671984401,"{'n_neighbors': 5, 'p': 2}",0.8277898393399914,"{'n_neighbors': 15, 'p': 2}",0.8321500569725655,"{'n_neighbors': 15, 'p': 2}",0.8326595183687819,0.8315368528374542,0.0021237737312912977
14,"{'n_neighbors': 5, 'p': 2}",0.8338971289790963,"{'n_neighbors': 15, 'p': 2}",0.8313551815766164,"{'n_neighbors': 5, 'p': 2}",0.8287225739311422,"{'n_neighbors': 15, 'p': 2}",0.8334648776637728,"{'n_neighbors': 15, 'p': 2}",0.8327765078248637,0.8320432539950984,0.0018706088437043902
13,"{'n_neighbors': 5, 'p': 2}",0.8337524932789872,"{'n_neighbors': 15, 'p': 2}",0.830970942593905,"{'n_neighbors': 5, 'p': 2}",0.8288663370630583,"{'n_neighbors': 15, 'p': 2}",0.8334063622820086,"{'n_neighbors': 15, 'p': 2}",0.8326738767255781,0.8319340023887074,0.0018088792953841097
12,"{'n_neighbors': 15, 'p': 2}",0.8425340150792964,"{'n_neighbors': 5, 'p': 2}",0.8392198207696363,"{'n_neighbors': 5, 'p': 2}",0.8403100775193798,"{'n_neighbors': 5, 'p': 2}",0.8440557624036712,"{'n_neighbors': 15, 'p': 2}",0.8423813270390769,0.8417002005622122,0.0017200335755418563
11,"{'n_neighbors': 15, 'p': 2}",0.842753120665742,"{'n_neighbors': 5, 'p': 2}",0.8392087912087912,"{'n_neighbors': 5, 'p': 2}",0.8404374407991044,"{'n_neighbors': 5, 'p': 2}",0.8442480942480943,"{'n_neighbors': 15, 'p': 2}",0.8423628102062217,0.8418020514255907,0.0017770351326348336
10,"{'n_neighbors': 5, 'p': 2}",0.8506476795058764,"{'n_neighbors': 5, 'p': 2}",0.8438485804416405,"{'n_neighbors': 15, 'p': 2}",0.8474166234663901,"{'n_neighbors': 15, 'p': 2}",0.8498314169620471,"{'n_neighbors': 5, 'p': 2}",0.8483798301854099,0.8480248261122728,0.002369814198400544
