n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,9.139740943908691,0.0,0.0,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.872689222183467,0.872689222183467,0.0,23
26,5.335571527481079,0.0,0.0,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.897644539614561,0.897644539614561,0.0,12
26,6.682581424713135,0.0,0.002065420150756836,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8986480668216654,0.8986480668216654,0.0,11
26,2.2441115379333496,0.0,0.005998849868774414,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.893970893970894,0.893970893970894,0.0,20
26,4.227047920227051,0.0,0.017835378646850586,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9016531713900136,0.9016531713900136,0.0,1
26,3.0940234661102295,0.0,0.0069997310638427734,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9001347254968002,0.9001347254968002,0.0,6
26,7.457345485687256,0.0,0.005064487457275391,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8641448211083597,0.8641448211083597,0.0,24
26,4.256960868835449,0.0,0.0,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8949944191637331,0.8949944191637331,0.0,18
26,4.513266086578369,0.0,0.007995843887329102,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8967977575809055,0.8967977575809055,0.0,15
26,3.9274041652679443,0.0,0.019806623458862305,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8968911917098445,0.8968911917098445,0.0,14
