n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.015000343322753906,0.0,0.003000497817993164,0.0,{},0.6741713570981864,0.6741713570981864,0.0,1
25,0.014000177383422852,0.0,0.003000020980834961,0.0,{},0.6741010943199583,0.6741010943199583,0.0,1
24,0.013000011444091797,0.0,0.0029997825622558594,0.0,{},0.6738926524231371,0.6738926524231371,0.0,1
23,0.011987686157226562,0.0,0.0030002593994140625,0.0,{},0.6739697443922796,0.6739697443922796,0.0,1
22,0.011987686157226562,0.0,0.003000974655151367,0.0,{},0.6752190237797246,0.6752190237797246,0.0,1
21,0.011000394821166992,0.0,0.003999948501586914,0.0,{},0.6747314631348419,0.6747314631348419,0.0,1
20,0.010999441146850586,0.0,0.0029997825622558594,0.0,{},0.6748018356278682,0.6748018356278682,0.0,1
19,0.010996341705322266,0.0,0.0029997825622558594,0.0,{},0.6743870631194575,0.6743870631194575,0.0,1
18,0.010987997055053711,0.0,0.0029997825622558594,0.0,{},0.676470588235294,0.676470588235294,0.0,1
17,0.009000062942504883,0.0,0.0030002593994140625,0.0,{},0.6757800271313785,0.6757800271313785,0.0,1
16,0.008987903594970703,0.0,0.003000020980834961,0.0,{},0.6764061358655954,0.6764061358655954,0.0,1
15,0.009343147277832031,0.0,0.0029997825622558594,0.0,{},0.6767434587720214,0.6767434587720214,0.0,1
14,0.007999420166015625,0.0,0.003001689910888672,0.0,{},0.6758304696449026,0.6758304696449026,0.0,1
13,0.008987903594970703,0.0,0.0029997825622558594,0.0,{},0.6734076931095591,0.6734076931095591,0.0,1
12,0.007999420166015625,0.0,0.003000020980834961,0.0,{},0.6383449496625733,0.6383449496625733,0.0,1
11,0.008012533187866211,0.0,0.0029993057250976562,0.0,{},0.6379960097539348,0.6379960097539348,0.0,1
10,0.008000373840332031,0.0,0.003000020980834961,0.0,{},0.6353517364203028,0.6353517364203028,0.0,1
9,0.00700068473815918,0.0,0.002999544143676758,0.0,{},0.631425364758698,0.631425364758698,0.0,1
8,0.006999492645263672,0.0,0.00299835205078125,0.0,{},0.622070534698521,0.622070534698521,0.0,1
7,0.006998300552368164,0.0,0.0030002593994140625,0.0,{},0.6080798699791038,0.6080798699791038,0.0,1
6,0.006999492645263672,0.0,0.0029990673065185547,0.0,{},0.5842136498516322,0.5842136498516322,0.0,1
5,0.007012128829956055,0.0,0.0030002593994140625,0.0,{},0.5751587016409151,0.5751587016409151,0.0,1
4,0.0069997310638427734,0.0,0.0029997825622558594,0.0,{},0.4617407310018406,0.4617407310018406,0.0,1
3,0.005019426345825195,0.0,0.0030121803283691406,0.0,{},0.12335092348284961,0.12335092348284961,0.0,1
2,0.005000114440917969,0.0,0.003000020980834961,0.0,{},0.010839160839160839,0.010839160839160839,0.0,1
1,0.0049898624420166016,0.0,0.0030012130737304688,0.0,{},0.0,0.0,0.0,1
