n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,{},0.6850622406639005,{},0.6861070610289522,{},0.6741713570981864,{},0.6817423926636098,{},0.6832272205406534,0.6820620543990604,0.004221044797588631
25,{},0.6854119111848931,{},0.6855653986451277,{},0.6741010943199583,{},0.6818845111528038,{},0.6828097275858469,0.681954528577726,0.004181018406091057
24,{},0.685690567604026,{},0.68582734562116,{},0.6738926524231371,{},0.6818181818181818,{},0.6834359670180566,0.6821329428969123,0.004381886318350863
23,{},0.6861889927310488,{},0.6865360566902877,{},0.6739697443922796,{},0.6827334376630151,{},0.6833037485642686,0.68254639600818,0.00454650247243295
22,{},0.6861177447824732,{},0.6873045653533459,{},0.6752190237797246,{},0.6832168561593825,{},0.6844852787638338,0.683268693767752,0.004258762830831737
21,{},0.6860585913151881,{},0.6878582595101617,{},0.6747314631348419,{},0.6832220367278798,{},0.6842764669033202,0.6832293635182782,0.004533034262789404
20,{},0.6855123674911661,{},0.6875846971750235,{},0.6748018356278682,{},0.683359415753782,{},0.6840622064502662,0.6830641044996212,0.00437671687369705
19,{},0.6855064935064935,{},0.6875130289764436,{},0.6743870631194575,{},0.6832881285207594,{},0.6839962417788913,0.6829381911804091,0.004514178463997856
18,{},0.6860706860706861,{},0.6872329338196977,{},0.676470588235294,{},0.6837767344809598,{},0.6849801545853353,0.6837062194383945,0.0037950140663673866
17,{},0.6872466479575928,{},0.6869782971619365,{},0.6757800271313785,{},0.6840676550428065,{},0.685672514619883,0.6839490283827194,0.0042371646825657425
16,{},0.686961038961039,{},0.6871088861076345,{},0.6764061358655954,{},0.6837107377647917,{},0.6855949895615866,0.6839563576521295,0.003967816480647264
15,{},0.686870783601453,{},0.6866854342612867,{},0.6767434587720214,{},0.6834862385321101,{},0.6849686847599163,0.6837509199853575,0.003714900886778246
14,{},0.6856253243383498,{},0.6866013752865181,{},0.6758304696449026,{},0.6823578421162259,{},0.6839086453227657,0.6828647313417523,0.00380554627798153
13,{},0.6856787306854714,{},0.6853991050057239,{},0.6734076931095591,{},0.6820074968763015,{},0.6824950536290743,0.681797615861226,0.004448708792365757
12,{},0.634113860836755,{},0.6427141268075639,{},0.6383449496625733,{},0.6418191902384914,{},0.6358883079319168,0.6385760870954601,0.003311499212864898
11,{},0.6346217742828663,{},0.6438417074255225,{},0.6379960097539348,{},0.6403109383675736,{},0.635058430717863,0.638365772109552,0.003431101582963601
10,{},0.6329367285666629,{},0.6404644930772666,{},0.6353517364203028,{},0.6377847253238054,{},0.6342499441090991,0.6361575254994274,0.0026780382621569127
9,{},0.6281864121280181,{},0.6355645706558485,{},0.631425364758698,{},0.6336901408450705,{},0.6307362724095164,0.6319205521594303,0.0025298950879702143
8,{},0.6232939035486806,{},0.6306902452937821,{},0.622070534698521,{},0.6283629730962152,{},0.6228871630881682,0.6254609639450734,0.0034229417940059106
7,{},0.6089074460681976,{},0.6154025670945157,{},0.6080798699791038,{},0.6171811770146838,{},0.6081504702194358,0.6115443060751874,0.003927695559941007
6,{},0.5818354957743126,{},0.5943103036098494,{},0.5842136498516322,{},0.593886462882096,{},0.5882631329862754,0.5885018090208332,0.005012347039199382
5,{},0.5735559024858892,{},0.5864227250842561,{},0.5751587016409151,{},0.5840581436911711,{},0.5716342692584593,0.5781659484321382,0.0059304504950509285
4,{},0.459037881766942,{},0.4875179715069926,{},0.4617407310018406,{},0.473465140478668,{},0.466265690376569,0.4696054830262025,0.01020232262719412
3,{},0.12030075187969924,{},0.1279011521122057,{},0.12335092348284961,{},0.12394923355859568,{},0.12522596548890716,0.12414560530445147,0.0024788823639444457
2,{},0.008320332813312532,{},0.013827335578798087,{},0.010839160839160839,{},0.010495014867937729,{},0.01012216404886562,0.010720801629614963,0.0017796718367601447
1,{},0.0,{},0.0,{},0.0,{},0.0,{},0.0,0.0,0.0
