,feature,importance
0,mer8,0.5298334665931539
1,mer7,0.17527463285508083
2,mer6,0.09198817427344148
3,cpg,0.030518770283774258
4,gc,0.01907397563043326
5,gcs,0.01841538026879672
6,cm2,0.017474366760968658
7,cwf,0.016144190591280604
8,ce,0.01606739032998585
9,cm1,0.01589884492697181
10,ct5,0.008124491509125635
11,ct6,0.007986177894152069
12,ct4,0.007848684916608986
13,ct3,0.007393115557619919
14,cm3,0.006453410278736438
15,cl6,0.005319444261574861
16,cl5,0.005244405029604031
17,cl4,0.005069126570036189
18,cl3,0.004664002972074343
19,ct2,0.003758661118680674
20,cl2,0.00374727345909723
21,cm4,0.002419350126642438
22,cm5,0.0006539408325108938
23,ct1,0.0002450788648426553
24,cl1,0.0002435542516840894
25,cm6,0.00014008984312222685
