n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,{},0.8591138232953037,{},0.8444163353812792,{},0.8522355024347056,{},0.8543187889581478,{},0.8536867384150137,0.85275423769689,0.004765530579460313
25,{},0.8580782162449124,{},0.8434845472618833,{},0.8514255356826633,{},0.8537865978464002,{},0.8533309614871475,0.8520211717046013,0.004790590912331448
24,{},0.8576229218252566,{},0.8431230797035966,{},0.850969627202692,{},0.8536086143988608,{},0.8535088499510807,0.8517666186162973,0.0048181026558362545
23,{},0.8573197700132684,{},0.8424001445870233,{},0.8511730854360336,{},0.8531505873976504,{},0.8533831243887259,0.8514853423645403,0.0049609169851119956
22,{},0.8567892503536068,{},0.84221941080788,{},0.8509470702779253,{},0.8529725881096475,{},0.8531294452347084,0.8512115529567537,0.004874809439626918
21,{},0.8564356435643564,{},0.8419625914882083,{},0.8508453571744711,{},0.8527421652421652,{},0.853053604764868,0.8510078724468138,0.0048682031665785086
20,{},0.8560063643595862,{},0.8416772094704501,{},0.8504648074369189,{},0.8529725881096475,{},0.8526456202756781,0.850753317930456,0.004869485561396627
19,{},0.8551980198019802,{},0.8410590042468601,{},0.8502612237669351,{},0.8527683816984156,{},0.8519868432749578,0.8502546945578299,0.004864487426528777
18,{},0.85484298982751,{},0.8409542743538767,{},0.8495481127060075,{},0.8516737891737892,{},0.8510713968169289,0.8496181125756225,0.00466270686133924
17,{},0.854133474951319,{},0.8407838887383726,{},0.8490164805954281,{},0.8510107756701398,{},0.8507422882033959,0.849137381631731,0.0044909183774573015
16,{},0.8536779676020184,{},0.8406216118539935,{},0.8483290488431877,{},0.85065455516965,{},0.8508179231863442,0.848820221331039,0.004436479233295239
15,{},0.853271938368901,{},0.8403179190751445,{},0.8483559337055746,{},0.85029833466916,{},0.8503111111111111,0.8485110473859783,0.004387530512032287
14,{},0.853271938368901,{},0.8400036136959076,{},0.8484848484848484,{},0.8500668151447661,{},0.8501066856330015,0.848386780265485,0.004470625470180071
13,{},0.8530948375099618,{},0.8395374051319119,{},0.8485868698502703,{},0.8500400962309542,{},0.8499777678968431,0.8482473953239884,0.004597495701556278
12,{},0.8528422171064283,{},0.8395663956639567,{},0.848001418062572,{},0.8496568933250156,{},0.8498754891497687,0.8479884826615484,0.004490764799220107
11,{},0.8524096385542169,{},0.8388612742882964,{},0.847851129818343,{},0.8489439443899832,{},0.8485495639793557,0.847323110206039,0.0045141009017636985
10,{},0.852334130569581,{},0.8388903948676244,{},0.8476527900797166,{},0.8483065953654189,{},0.8483446066215735,0.847105703500783,0.004429538835813313
9,{},0.8523079649153893,{},0.8386513603904908,{},0.8470942593905031,{},0.8471343256974775,{},0.8479131440776009,0.8466202108942923,0.004427501245184612
8,{},0.8517763799060867,{},0.8387388201282862,{},0.8470942593905031,{},0.8470860809124933,{},0.8478376935397758,0.8465066467754289,0.004255865037377978
7,{},0.8515763372298972,{},0.8380453436907235,{},0.8466170740347149,{},0.8465995186736786,{},0.8473309608540924,0.8460338468966213,0.0044017729527482735
6,{},0.851655160205346,{},0.8375496928080954,{},0.8463377911611017,{},0.8465721672461443,{},0.8468516542155816,0.8457932931272538,0.004568187453651123
5,{},0.8504160028323596,{},0.8368730230456394,{},0.8456292622442655,{},0.8456256131276196,{},0.846167526231549,0.8449422854962867,0.00441621255231233
4,{},0.8497299211901178,{},0.8370370370370371,{},0.8452475861458056,{},0.8449121555337555,{},0.845989685221412,0.8445832770256256,0.004146351066051036
3,{},0.8494995128000709,{},0.8366296396640477,{},0.8454521300150563,{},0.8451181453410611,{},0.8460170697012802,0.8445432995043033,0.004254843863815175
2,{},0.8593511126210294,{},0.8479070976687755,{},0.8570206212030461,{},0.8581718401646372,{},0.8585901948999742,0.8562081733114925,0.004218435972351936
1,{},0.0,{},0.0,{},0.0,{},0.0,{},0.0,0.0,0.0
