,feature,importance
0,mer8,0.5056332590286919
1,mer7,0.1894057492595172
2,mer6,0.10017286606029187
3,cpg,0.03100360973166849
4,gc,0.01976817715040529
5,gcs,0.01865852952076999
6,cm2,0.017964740779056035
7,cwf,0.015987559735948148
8,ce,0.015960883626501984
9,cm1,0.01584952941448695
10,ct5,0.008164912354319868
11,ct6,0.008159870922227204
12,ct4,0.00806388354040442
13,ct3,0.007244176998563596
14,cm3,0.006595629977462445
15,cl6,0.005251554743394394
16,cl5,0.005228352439771893
17,cl4,0.0051501809693152425
18,cl3,0.0048172532470028865
19,ct2,0.003906165337341574
20,cl2,0.0035909779327502177
21,cm4,0.0022137489984238425
22,cm5,0.0005991356814888206
23,ct1,0.0002388117916095863
24,cl1,0.00023833158340538083
25,cm6,0.00013210917518082565
