n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8998568179903984,"{'criterion': 'gini', 'n_estimators': 1000}",0.892207903046855,"{'criterion': 'gini', 'n_estimators': 100}",0.8958456722226922,"{'criterion': 'gini', 'n_estimators': 1000}",0.8969019807008634,"{'criterion': 'entropy', 'n_estimators': 200}",0.9003477228394539,0.8970320193600525,0.002955327550434399
25,"{'criterion': 'entropy', 'n_estimators': 800}",0.9003199191783129,"{'criterion': 'gini', 'n_estimators': 800}",0.8921108742004265,"{'criterion': 'entropy', 'n_estimators': 800}",0.8955123347646713,"{'criterion': 'entropy', 'n_estimators': 100}",0.8975205212828975,"{'criterion': 'entropy', 'n_estimators': 800}",0.9011416490486258,0.8973210596949868,0.003287776297018955
24,"{'criterion': 'gini', 'n_estimators': 600}",0.8997559128019527,"{'criterion': 'entropy', 'n_estimators': 400}",0.8926351638995317,"{'criterion': 'gini', 'n_estimators': 1000}",0.894377476186462,"{'criterion': 'entropy', 'n_estimators': 800}",0.8976869829478304,"{'criterion': 'entropy', 'n_estimators': 800}",0.9000084523708901,0.8968927976413333,0.0029322261242440894
23,"{'criterion': 'entropy', 'n_estimators': 600}",0.9001766041544025,"{'criterion': 'entropy', 'n_estimators': 400}",0.8923155563128301,"{'criterion': 'entropy', 'n_estimators': 600}",0.895268563731268,"{'criterion': 'gini', 'n_estimators': 1000}",0.8969246367015884,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9003046716316858,0.8969980065063549,0.003031805155831939
22,"{'criterion': 'gini', 'n_estimators': 400}",0.9004044489383216,"{'criterion': 'entropy', 'n_estimators': 600}",0.8925436727737538,"{'criterion': 'gini', 'n_estimators': 100}",0.8949101038237528,"{'criterion': 'gini', 'n_estimators': 1000}",0.8972579553148273,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9007272112294942,0.8971686784160301,0.0031506562301228075
21,"{'criterion': 'entropy', 'n_estimators': 600}",0.9005138572993008,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8917490623934538,"{'criterion': 'gini', 'n_estimators': 400}",0.8950565210055677,"{'criterion': 'gini', 'n_estimators': 1000}",0.8971646212441812,"{'criterion': 'entropy', 'n_estimators': 600}",0.9008292435268235,0.8970626610938652,0.0034166423151340856
20,"{'criterion': 'gini', 'n_estimators': 1000}",0.9007672203018295,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8925802879291251,"{'criterion': 'entropy', 'n_estimators': 200}",0.895117845117845,"{'criterion': 'gini', 'n_estimators': 200}",0.8976031167951215,"{'criterion': 'gini', 'n_estimators': 800}",0.9010933129926265,0.8974323566273096,0.003269636385001974
19,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9004970932681777,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8932038834951457,"{'criterion': 'entropy', 'n_estimators': 400}",0.8959649566169657,"{'criterion': 'gini', 'n_estimators': 1000}",0.8970775095298601,"{'criterion': 'entropy', 'n_estimators': 200}",0.9015324697316061,0.8976551825283512,0.0030369209906543886
18,"{'criterion': 'entropy', 'n_estimators': 600}",0.9005059021922429,"{'criterion': 'gini', 'n_estimators': 200}",0.8923050644803143,"{'criterion': 'gini', 'n_estimators': 100}",0.8964584565970756,"{'criterion': 'gini', 'n_estimators': 800}",0.8970127782008971,"{'criterion': 'entropy', 'n_estimators': 800}",0.9020072838146863,0.8976578970570432,0.003392224956212005
17,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9006667229302051,"{'criterion': 'entropy', 'n_estimators': 600}",0.8927199795169412,"{'criterion': 'gini', 'n_estimators': 400}",0.8958985200845667,"{'criterion': 'entropy', 'n_estimators': 100}",0.8967096336499322,"{'criterion': 'gini', 'n_estimators': 800}",0.9011194029850746,0.897422851833344,0.0031348513710311695
16,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9008187726850679,"{'criterion': 'gini', 'n_estimators': 1000}",0.8928327645051195,"{'criterion': 'entropy', 'n_estimators': 200}",0.8962431405656396,"{'criterion': 'entropy', 'n_estimators': 400}",0.8957698815566836,"{'criterion': 'gini', 'n_estimators': 1000}",0.901804625942557,0.8974938370510136,0.003343649484054903
15,"{'criterion': 'gini', 'n_estimators': 1000}",0.9001181035937237,"{'criterion': 'entropy', 'n_estimators': 600}",0.8919195363109443,"{'criterion': 'gini', 'n_estimators': 800}",0.8952605835722719,"{'criterion': 'gini', 'n_estimators': 400}",0.8964642192522416,"{'criterion': 'entropy', 'n_estimators': 100}",0.9002877941425429,0.8968100473743448,0.0031456475377733455
14,"{'criterion': 'gini', 'n_estimators': 400}",0.9004731328151402,"{'criterion': 'entropy', 'n_estimators': 1000}",0.892186966905493,"{'criterion': 'entropy', 'n_estimators': 200}",0.8950080243263789,"{'criterion': 'gini', 'n_estimators': 400}",0.8959322033898305,"{'criterion': 'entropy', 'n_estimators': 800}",0.9009984768996446,0.8969197608672974,0.003355345637347005
13,"{'criterion': 'entropy', 'n_estimators': 800}",0.9010043041606887,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8931160965623133,"{'criterion': 'gini', 'n_estimators': 100}",0.8954768761646621,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8949416342412452,"{'criterion': 'entropy', 'n_estimators': 800}",0.9011770683377085,0.8971431958933234,0.003317267192064433
12,"{'criterion': 'gini', 'n_estimators': 1000}",0.8992234976367319,"{'criterion': 'entropy', 'n_estimators': 600}",0.8906516547253497,"{'criterion': 'entropy', 'n_estimators': 100}",0.8947056332062686,"{'criterion': 'gini', 'n_estimators': 100}",0.8937760040757409,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8990001694628029,0.8954713918213788,0.003262549960743451
11,"{'criterion': 'entropy', 'n_estimators': 600}",0.8989788167777871,"{'criterion': 'gini', 'n_estimators': 400}",0.890065772614675,"{'criterion': 'entropy', 'n_estimators': 600}",0.8942210206150727,"{'criterion': 'gini', 'n_estimators': 200}",0.8934906220826614,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8983812187473516,0.8950274901675096,0.0033012565817178057
10,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8985140155352921,"{'criterion': 'gini', 'n_estimators': 800}",0.8905034618343448,"{'criterion': 'gini', 'n_estimators': 400}",0.8947724581289122,"{'criterion': 'entropy', 'n_estimators': 100}",0.8936640054357057,"{'criterion': 'gini', 'n_estimators': 1000}",0.8986612438569734,0.8952230369582457,0.003084146448951424
9,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8993243243243243,"{'criterion': 'entropy', 'n_estimators': 100}",0.8903148528405201,"{'criterion': 'gini', 'n_estimators': 600}",0.8942511218355769,"{'criterion': 'entropy', 'n_estimators': 400}",0.8938338712417191,"{'criterion': 'gini', 'n_estimators': 800}",0.8982432317745905,0.8951934804033461,0.003252766163291888
