,feature,importance
0,mer8,0.5139856624221157
1,mer7,0.18705113076558805
2,mer6,0.09506179391695514
3,cpg,0.03099379233395902
4,gc,0.01948747495233973
5,gcs,0.018421314120012116
6,cm2,0.017953628966582695
7,cwf,0.01599489027884373
8,cm1,0.015942872168369305
9,ce,0.015858386522030633
10,ct5,0.00821963056241142
11,ct6,0.008067448761835797
12,ct4,0.008008007926388255
13,ct3,0.007588915541148189
14,cm3,0.006403697206028659
15,cl5,0.00529142323503605
16,cl6,0.005092045052235126
17,cl4,0.00495918389341848
18,cl3,0.004824040704698453
19,ct2,0.0037826957915427298
20,cl2,0.003668516558193779
21,cm4,0.002179587583702448
22,cm5,0.0005644127245440671
23,cl1,0.00024593328874722485
24,ct1,0.00024552490890430377
25,cm6,0.0001079898143688787
