n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,7.322326898574829,0.0,0.21211886405944824,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8978343949044586,0.8978343949044586,0.0,12
26,14.398417472839355,0.0,0.41603565216064453,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8998474834773766,0.8998474834773766,0.0,4
26,25.82026720046997,0.0,0.726116418838501,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8991183452017633,0.8991183452017633,0.0,9
26,37.44819259643555,0.0,0.9728546142578125,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9001356391997287,0.9001356391997287,0.0,2
26,47.939767360687256,0.0,1.2592527866363525,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8991945739720221,0.8991945739720221,0.0,8
26,57.66756319999695,0.0,1.5347566604614258,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.899635191312463,0.899635191312463,0.0,5
26,7.820843935012817,0.0,0.20701360702514648,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8980249215902348,0.8980249215902348,0.0,11
26,15.210377216339111,0.0,0.3735160827636719,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9005937234944867,0.9005937234944867,0.0,1
26,28.14464569091797,0.0,0.6415753364562988,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8990592423086702,0.8990592423086702,0.0,10
26,39.52672100067139,0.0,0.949920654296875,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8993732000677621,0.8993732000677621,0.0,7
26,50.63553071022034,0.0,1.2232606410980225,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8996106314542068,0.8996106314542068,0.0,6
26,60.950592041015625,0.0,1.4333219528198242,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8999830766627179,0.8999830766627179,0.0,3
25,8.884834289550781,0.0,0.22090816497802734,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8985654868007809,0.8985654868007809,0.0,12
25,16.546910047531128,0.0,0.43304944038391113,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9001442266904216,0.9001442266904216,0.0,7
25,30.57130789756775,0.0,0.7902066707611084,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8991853360488798,0.8991853360488798,0.0,11
25,41.8793408870697,0.0,1.049102783203125,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.899541829288987,0.899541829288987,0.0,9
25,52.13431262969971,0.0,1.3320410251617432,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8994233378561738,0.8994233378561738,0.0,10
25,61.34442114830017,0.0,1.4798870086669922,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.899932157394844,0.899932157394844,0.0,8
25,9.443957567214966,0.0,0.2272639274597168,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.900552016985138,0.900552016985138,0.0,5
25,17.386059761047363,0.0,0.4166996479034424,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9004659042778483,0.9004659042778483,0.0,6
25,32.51751112937927,0.0,0.6479973793029785,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9010579771476935,0.9010579771476935,0.0,1
25,43.78462529182434,0.0,0.8930919170379639,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9010244687156042,0.9010244687156042,0.0,2
25,54.57553482055664,0.0,1.1822175979614258,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9009557641884463,0.9009557641884463,0.0,3
25,64.6155788898468,0.0,1.418644666671753,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9008627981728979,0.9008627981728979,0.0,4
24,6.984969139099121,0.0,0.23841118812561035,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8972660893190695,0.8972660893190695,0.0,11
24,13.504401922225952,0.0,0.4187285900115967,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8986858838490885,0.8986858838490885,0.0,9
24,24.59221386909485,0.0,0.847994327545166,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8992708156689843,0.8992708156689843,0.0,7
24,34.34793663024902,0.0,1.035306453704834,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.899025010597711,0.899025010597711,0.0,8
24,43.147857666015625,0.0,1.2709405422210693,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8996188055908514,0.8996188055908514,0.0,5
