n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8997472620050547,"{'criterion': 'gini', 'n_estimators': 1000}",0.892131763099505,"{'criterion': 'gini', 'n_estimators': 100}",0.8960500718937664,"{'criterion': 'entropy', 'n_estimators': 400}",0.8968723584108199,"{'criterion': 'entropy', 'n_estimators': 200}",0.9005937234944867,0.8970790357807266,0.003001647884336529
25,"{'criterion': 'entropy', 'n_estimators': 600}",0.9002019522046449,"{'criterion': 'entropy', 'n_estimators': 800}",0.8920691711389386,"{'criterion': 'entropy', 'n_estimators': 800}",0.8952509262377906,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8976071700346664,"{'criterion': 'entropy', 'n_estimators': 400}",0.9010579771476935,0.8972374393527467,0.003291770859418741
24,"{'criterion': 'gini', 'n_estimators': 600}",0.9001347254968002,"{'criterion': 'entropy', 'n_estimators': 400}",0.8924099156657296,"{'criterion': 'gini', 'n_estimators': 1000}",0.8942664418212479,"{'criterion': 'entropy', 'n_estimators': 600}",0.8975593277594799,"{'criterion': 'entropy', 'n_estimators': 800}",0.8998985458234697,0.8968537913133454,0.003065134547964856
23,"{'criterion': 'entropy', 'n_estimators': 600}",0.9002523128679562,"{'criterion': 'entropy', 'n_estimators': 400}",0.8923915821760245,"{'criterion': 'entropy', 'n_estimators': 600}",0.8955123347646713,"{'criterion': 'gini', 'n_estimators': 1000}",0.8968897903989183,"{'criterion': 'gini', 'n_estimators': 800}",0.9001439823833318,0.8970380005181804,0.0029637055477822007
22,"{'criterion': 'gini', 'n_estimators': 800}",0.9005897219882056,"{'criterion': 'entropy', 'n_estimators': 600}",0.8925436727737538,"{'criterion': 'gini', 'n_estimators': 100}",0.8949856491642748,"{'criterion': 'gini', 'n_estimators': 1000}",0.8972991279315892,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9007272112294942,0.8972290766174634,0.0031787345335764884
21,"{'criterion': 'entropy', 'n_estimators': 600}",0.900117904665656,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8918435182817693,"{'criterion': 'gini', 'n_estimators': 400}",0.8951497258540699,"{'criterion': 'gini', 'n_estimators': 1000}",0.8975791433891992,"{'criterion': 'entropy', 'n_estimators': 600}",0.901124925991711,0.897163043636481,0.0033749563847559603
20,"{'criterion': 'gini', 'n_estimators': 1000}",0.901087781431824,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8928084526244036,"{'criterion': 'entropy', 'n_estimators': 200}",0.8951755493811567,"{'criterion': 'gini', 'n_estimators': 200}",0.8978244307119275,"{'criterion': 'gini', 'n_estimators': 800}",0.9009833841980334,0.8975759196694689,0.0032402550775004328
19,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9006488581781411,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8935807934616039,"{'criterion': 'gini', 'n_estimators': 600}",0.8958649789029536,"{'criterion': 'entropy', 'n_estimators': 800}",0.8969543147208123,"{'criterion': 'entropy', 'n_estimators': 600}",0.9013536379018612,0.8976805166330744,0.002930329262487077
18,"{'criterion': 'entropy', 'n_estimators': 600}",0.900657783774667,"{'criterion': 'gini', 'n_estimators': 200}",0.8924758732598854,"{'criterion': 'gini', 'n_estimators': 100}",0.8963476496449104,"{'criterion': 'gini', 'n_estimators': 800}",0.8969019807008634,"{'criterion': 'entropy', 'n_estimators': 800}",0.9017448754870404,0.8976256325734733,0.003311768001360853
17,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9006834866256012,"{'criterion': 'gini', 'n_estimators': 600}",0.8926254694434962,"{'criterion': 'gini', 'n_estimators': 400}",0.8962367864693447,"{'criterion': 'entropy', 'n_estimators': 100}",0.8965575716466,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9012701100762065,0.8974746848522497,0.003180881656716559
16,"{'criterion': 'entropy', 'n_estimators': 600}",0.9008355135454468,"{'criterion': 'gini', 'n_estimators': 1000}",0.8928510493089915,"{'criterion': 'entropy', 'n_estimators': 200}",0.8961850101282917,"{'criterion': 'entropy', 'n_estimators': 400}",0.8957345971563982,"{'criterion': 'gini', 'n_estimators': 800}",0.9017713365539453,0.8974755013386148,0.0033414234612572087
15,"{'criterion': 'gini', 'n_estimators': 800}",0.9003627773559436,"{'criterion': 'entropy', 'n_estimators': 1000}",0.892032381763954,"{'criterion': 'gini', 'n_estimators': 600}",0.8953007677381253,"{'criterion': 'gini', 'n_estimators': 400}",0.8959796868387643,"{'criterion': 'entropy', 'n_estimators': 600}",0.9004065040650406,0.8968164235523656,0.0032046747134783604
14,"{'criterion': 'gini', 'n_estimators': 200}",0.9008445945945946,"{'criterion': 'entropy', 'n_estimators': 400}",0.8920532060027284,"{'criterion': 'entropy', 'n_estimators': 200}",0.89510607725467,"{'criterion': 'gini', 'n_estimators': 400}",0.8955932203389829,"{'criterion': 'gini', 'n_estimators': 600}",0.901143583227446,0.8969481362836843,0.0035206102756647224
13,"{'criterion': 'entropy', 'n_estimators': 800}",0.9010043041606887,"{'criterion': 'entropy', 'n_estimators': 800}",0.8932287224970151,"{'criterion': 'gini', 'n_estimators': 100}",0.8956286004744155,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8948303578982993,"{'criterion': 'entropy', 'n_estimators': 800}",0.90132971965783,0.8972043409376497,0.0033281455961383607
12,"{'criterion': 'gini', 'n_estimators': 800}",0.8995611073598919,"{'criterion': 'entropy', 'n_estimators': 800}",0.890405117270789,"{'criterion': 'gini', 'n_estimators': 600}",0.8943941828020631,"{'criterion': 'gini', 'n_estimators': 100}",0.8936640054357057,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8988307066598883,0.8953710239056676,0.0034074789336995333
11,"{'criterion': 'entropy', 'n_estimators': 600}",0.8994432259153029,"{'criterion': 'gini', 'n_estimators': 800}",0.8898941618299762,"{'criterion': 'entropy', 'n_estimators': 200}",0.8943899966204799,"{'criterion': 'gini', 'n_estimators': 200}",0.8931874098583185,"{'criterion': 'gini', 'n_estimators': 400}",0.8984202480040768,0.8950670084456309,0.0034970007963425155
10,"{'criterion': 'gini', 'n_estimators': 400}",0.8984698622030602,"{'criterion': 'gini', 'n_estimators': 800}",0.8904460775935739,"{'criterion': 'gini', 'n_estimators': 1000}",0.8947902571041948,"{'criterion': 'entropy', 'n_estimators': 100}",0.8936640054357057,"{'criterion': 'gini', 'n_estimators': 1000}",0.8987202305280109,0.895218086572909,0.0031051355192734734
9,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8997720172253652,"{'criterion': 'entropy', 'n_estimators': 100}",0.8902762336440605,"{'criterion': 'gini', 'n_estimators': 1000}",0.8947947524333475,"{'criterion': 'entropy', 'n_estimators': 400}",0.8940217391304348,"{'criterion': 'gini', 'n_estimators': 800}",0.8983022071307301,0.8954333899127874,0.003348153990751951
8,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8994352187473658,"{'criterion': 'entropy', 'n_estimators': 800}",0.8909928352098261,"{'criterion': 'entropy', 'n_estimators': 400}",0.8943994601889339,"{'criterion': 'gini', 'n_estimators': 100}",0.8939638339417608,"{'criterion': 'gini', 'n_estimators': 800}",0.8976204589719705,0.8952823614119716,0.00295401383024673
7,"{'criterion': 'gini', 'n_estimators': 800}",0.8999746771334516,"{'criterion': 'entropy', 'n_estimators': 200}",0.8901615522694248,"{'criterion': 'gini', 'n_estimators': 1000}",0.8939765143195065,"{'criterion': 'gini', 'n_estimators': 200}",0.8940476190476191,"{'criterion': 'entropy', 'n_estimators': 400}",0.8975402883799831,0.895140130229997,0.0033605780481015257
6,"{'criterion': 'entropy', 'n_estimators': 800}",0.8965225484389542,"{'criterion': 'gini', 'n_estimators': 100}",0.8886601475381712,"{'criterion': 'gini', 'n_estimators': 200}",0.8917272881069194,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8933129147524247,"{'criterion': 'entropy', 'n_estimators': 800}",0.8949647618238941,0.8930375321320728,0.002713434127456772
5,"{'criterion': 'gini', 'n_estimators': 800}",0.8946922163812108,"{'criterion': 'gini', 'n_estimators': 100}",0.8862542955326461,"{'criterion': 'entropy', 'n_estimators': 800}",0.8904156064461408,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8920299727520437,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8939935341160455,0.8914771250456173,0.0030126246812717944
4,"{'criterion': 'gini', 'n_estimators': 800}",0.8911177220569486,"{'criterion': 'gini', 'n_estimators': 100}",0.8854633138132965,"{'criterion': 'entropy', 'n_estimators': 100}",0.8887567934782608,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8920900102284349,"{'criterion': 'gini', 'n_estimators': 400}",0.8910333048676345,0.8896922288889151,0.00238069876419755
3,"{'criterion': 'gini', 'n_estimators': 200}",0.8877142126353482,"{'criterion': 'entropy', 'n_estimators': 200}",0.881554065669589,"{'criterion': 'entropy', 'n_estimators': 200}",0.8858524993634898,"{'criterion': 'entropy', 'n_estimators': 200}",0.886986301369863,"{'criterion': 'entropy', 'n_estimators': 600}",0.8872167592988456,0.8858647676674269,0.002240020898649851
2,"{'criterion': 'gini', 'n_estimators': 400}",0.8749246793492295,"{'criterion': 'entropy', 'n_estimators': 400}",0.8680458970792768,"{'criterion': 'gini', 'n_estimators': 800}",0.8691027620518099,"{'criterion': 'gini', 'n_estimators': 1000}",0.8755283360648668,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8746119351500516,0.8724427219390469,0.00318979666969734
1,"{'criterion': 'gini', 'n_estimators': 100}",0.8748858447488584,"{'criterion': 'gini', 'n_estimators': 200}",0.8699084572100445,"{'criterion': 'gini', 'n_estimators': 100}",0.8719211822660098,"{'criterion': 'gini', 'n_estimators': 100}",0.8751032545845037,"{'criterion': 'gini', 'n_estimators': 100}",0.8742111905763567,0.8732059858771546,0.001997819135640142
