n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,180.55122995376587,0.0,5.504838228225708,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8941523512059691,0.8941523512059691,0.0,13
26,241.22054195404053,0.0,19.035192489624023,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8259792679570682,0.8259792679570682,0.0,18
26,180.97731685638428,0.0,5.221588134765625,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8941523512059691,0.8941523512059691,0.0,13
26,210.86079788208008,0.0,13.830361127853394,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8840010473946059,0.8840010473946059,0.0,17
26,181.09908628463745,0.0,5.2724690437316895,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8941523512059691,0.8941523512059691,0.0,13
26,185.51743602752686,0.0,14.242242336273193,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8954423592493298,0.8954423592493298,0.0,5
26,169.03921627998352,0.0,4.910957098007202,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.8949193688226114,0.8949193688226114,0.0,10
26,211.145681142807,0.0,13.880560874938965,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8854548629299808,0.8854548629299808,0.0,16
26,169.1815221309662,0.0,5.107887506484985,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.8949193688226114,0.8949193688226114,0.0,10
26,180.139554977417,0.0,15.04807186126709,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8961331714929771,0.8961331714929771,0.0,4
26,168.6464273929596,0.0,4.892345428466797,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.8949193688226114,0.8949193688226114,0.0,10
26,159.1919767856598,0.0,14.032977104187012,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8987569652807544,0.8987569652807544,0.0,1
26,208.58380007743835,0.0,3.3030076026916504,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.8953800814769871,0.8953800814769871,0.0,6
