n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.900382815823054,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8931304273063365,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8946163628656211,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8980044345898004,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8987569652807544,0.8969782011731132,0.0026904349689719953
25,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9004240882103477,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8928786186753714,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8947860848856001,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8980218281036836,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8984394985929905,0.8969100236935986,0.0027087781165366356
24,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9003733876442633,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8931638612160769,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8948621980265397,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8980565973406069,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8987978514792394,0.8970507791413451,0.0026458147146510604
23,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9003139051497412,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8931671680275032,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8946564885496183,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8985334242837654,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8989457444073027,0.8971233460835861,0.002728584037183238
22,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9003477228394539,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8932622894465452,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8952009496354079,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8982689519911317,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8987039563437926,0.8971567740512661,0.002561449842067717
21,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9005342152124141,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8934123507687022,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8953123675510724,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8983628922237381,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.898448881652241,0.8972141414816335,0.002527348723152772
20,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9002466196105111,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8936608830097922,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8953478518769595,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8983209750276996,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8984836802878438,0.8972120019625611,0.002372399319246612
19,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9001361007145288,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8936024044654357,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.89506696050178,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8981157813965385,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8986791648913507,0.8971200823939267,0.0024127945938429074
18,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.900907010256845,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8930504252212009,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8956868062028641,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8978861234231162,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8990401097017484,0.8973140949611549,0.002721849816661564
17,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9005510809665112,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8932622894465452,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8964406779661018,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8975692963752666,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8994718009882434,0.8974590291485335,0.002540624216293492
16,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9012031859006948,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8931087815775907,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8963414634146342,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8972936053957141,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9004796163069544,0.8976853305191177,0.0029355601554322797
15,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9000932124396238,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8934524832445437,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.896283125899585,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.896663537844526,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9000851063829787,0.8973154931622513,0.002521910200699344
14,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9000932124396238,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8937741519965651,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8965633993566956,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8964517229614467,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8999828737797567,0.8973730721068176,0.002394448093911447
13,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9004321667655284,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8932405737352916,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8971709300355751,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8961160904822877,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8998978549540346,0.8973715231945436,0.002624156381504152
12,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9004996189347108,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8905310190754426,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8959591663122075,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8959986349287603,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8996752691847547,0.8965327416871751,0.0035283573293643147
11,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9004996189347108,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8909325311559948,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8964291758334743,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8964517229614467,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9000849617672048,0.8968796021305663,0.003438966986510589
10,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8998138432898968,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8914482165878813,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8952622673434857,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8959468664850136,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9001358695652174,0.8965214126542991,0.0032111451787114236
9,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9011750781976499,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8914668729053881,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8956183386905768,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8971739870616275,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9001953622695998,0.8971259278249685,0.0034674798866515867
8,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9009298393913778,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8920566766852726,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8957293868921775,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8971039182282793,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8998812150008485,0.8971402072395911,0.003153044536153507
7,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9012178619756428,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8924186485790332,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8954038526529234,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8975385401584192,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9004409769335142,0.8974039760599066,0.0032447246821838797
6,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9003633905180428,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8919962254439392,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8957946292855937,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8971851347903733,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.900262689602576,0.897120413928105,0.003111591069110662
5,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9007775524002704,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8918826154110177,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8955325293018516,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.897993879632778,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8995929443690639,0.8971559042229963,0.0031686155970719223
4,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9005917159763314,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8928082191780822,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8963419785418603,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8982158028887001,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.899635191312463,0.8975185815794873,0.00275616465391812
