,feature,importance
0,mer8,0.6139962804472501
1,mer7,0.21355399054640656
2,mer6,0.07368495536754259
3,cpg,0.011726431281246608
4,gcs,0.009979481949074847
5,cm2,0.00856847819907765
6,gc,0.008433244248662323
7,cwf,0.007821184003306876
8,ce,0.007794341664928748
9,cm1,0.007749298989619055
10,ct6,0.004284970075685299
11,ct5,0.004267056832728323
12,ct4,0.004138461409112986
13,ct3,0.003812704918412351
14,cm3,0.0031862607824914117
15,cl6,0.0030290560076296816
16,cl5,0.002890282645876405
17,cl4,0.002787132986674543
18,cl3,0.0025164196765075347
19,cl2,0.0019294714411847735
20,ct2,0.0018997738114088273
21,cm4,0.0012935097693141874
22,cm5,0.0003190395352713925
23,ct1,0.00015460189528053385
24,cl1,9.894421123680838e-05
25,cm6,8.46273040695995e-05
