n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.008999109268188477,0.0,5.853605031967163,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.901037165082109,0.901037165082109,0.0,11
26,0.030005455017089844,0.0,4.51911187171936,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9242359018510546,0.9242359018510546,0.0,4
26,0.008999109268188477,0.0,5.815605163574219,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9002659574468086,0.9002659574468086,0.0,12
26,0.008000373840332031,0.0,4.533115386962891,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9220013109023378,0.9220013109023378,0.0,6
26,0.008999109268188477,0.0,5.791604995727539,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.907943416757345,0.907943416757345,0.0,7
26,0.009999752044677734,0.0,4.5091164112091064,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9256625727213961,0.9256625727213961,0.0,3
26,0.008999109268188477,0.0,5.856604814529419,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9016249451032059,0.9016249451032059,0.0,9
26,0.008999109268188477,0.0,4.537119388580322,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.923811591057087,0.923811591057087,0.0,5
26,0.029008865356445312,0.0,5.823596000671387,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9041512714627254,0.9041512714627254,0.0,8
26,0.010002374649047852,0.0,4.551117897033691,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9269239060142271,0.9269239060142271,0.0,1
26,0.008000612258911133,0.0,5.846604585647583,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9011857707509882,0.9011857707509882,0.0,10
26,0.00899648666381836,0.0,4.5431108474731445,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9258777633289986,0.9258777633289986,0.0,2
25,0.00500178337097168,0.0,5.637876272201538,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9050086355785837,0.9050086355785837,0.0,11
25,0.012010335922241211,0.0,4.553057432174683,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.92496765847348,0.92496765847348,0.0,5
25,0.004997968673706055,0.0,5.717877626419067,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9072482925754571,0.9072482925754571,0.0,10
25,0.008003473281860352,0.0,4.561069011688232,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9250871080139372,0.9250871080139372,0.0,4
25,0.006003618240356445,0.0,5.707874059677124,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9113428943937418,0.9113428943937418,0.0,7
25,0.0060045719146728516,0.0,4.587341070175171,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9282029234737748,0.9282029234737748,0.0,1
25,0.005003690719604492,0.0,5.659873962402344,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9080938802368941,0.9080938802368941,0.0,8
25,0.006003618240356445,0.0,4.586344242095947,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9241439098396185,0.9241439098396185,0.0,6
25,0.005003690719604492,0.0,5.677874803543091,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9077522737115634,0.9077522737115634,0.0,9
25,0.01301264762878418,0.0,4.607327461242676,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9255663430420712,0.9255663430420712,0.0,3
25,0.014011383056640625,0.0,5.511862754821777,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9044808743169399,0.9044808743169399,0.0,12
25,0.012011528015136719,0.0,4.6288721561431885,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9270833333333334,0.9270833333333334,0.0,2
24,0.00900125503540039,0.0,5.598040342330933,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9050086355785837,0.9050086355785837,0.0,11
24,0.00900125503540039,0.0,4.4860451221466064,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.92496765847348,0.92496765847348,0.0,5
24,0.007004976272583008,0.0,5.596032619476318,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9072482925754571,0.9072482925754571,0.0,10
24,0.00800323486328125,0.0,4.531049966812134,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9250871080139372,0.9250871080139372,0.0,4
24,0.008004903793334961,0.0,5.57003927230835,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9113428943937418,0.9113428943937418,0.0,7
24,0.008004903793334961,0.0,4.600039482116699,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9282029234737748,0.9282029234737748,0.0,1
24,0.00800323486328125,0.0,5.5540406703948975,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9080938802368941,0.9080938802368941,0.0,8
24,0.0070073604583740234,0.0,4.527041435241699,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9241439098396185,0.9241439098396185,0.0,6
24,0.00800323486328125,0.0,5.575037956237793,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9077522737115634,0.9077522737115634,0.0,9
24,0.008004188537597656,0.0,4.58503794670105,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9255663430420712,0.9255663430420712,0.0,3
24,0.008004903793334961,0.0,5.64903998374939,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9044808743169399,0.9044808743169399,0.0,12
24,0.00900125503540039,0.0,4.559039354324341,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9270833333333334,0.9270833333333334,0.0,2
23,0.00899648666381836,0.0,5.407021522521973,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9070118662351672,0.9070118662351672,0.0,11
23,0.006989955902099609,0.0,4.481024503707886,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9263565891472869,0.9263565891472869,0.0,3
23,0.018005847930908203,0.0,5.358012676239014,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9102535832414553,0.9102535832414553,0.0,8
23,0.00899648666381836,0.0,4.497023344039917,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9260309840715689,0.9260309840715689,0.0,6
23,0.00899648666381836,0.0,5.236024379730225,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9126846220677672,0.9126846220677672,0.0,7
23,0.005982637405395508,0.0,4.413025856018066,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9295835122370115,0.9295835122370115,0.0,1
23,0.007998466491699219,0.0,5.111023187637329,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9085325729326605,0.9085325729326605,0.0,10
23,0.00899648666381836,0.0,4.482025146484375,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.926238373350638,0.926238373350638,0.0,4
23,0.019995450973510742,0.0,5.4140098094940186,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9098378378378379,0.9098378378378379,0.0,9
23,0.007998466491699219,0.0,4.4720237255096436,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9280792420327305,0.9280792420327305,0.0,2
23,0.007998466491699219,0.0,5.441020965576172,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9057511480428604,0.9057511480428604,0.0,12
23,0.007000446319580078,0.0,4.465022563934326,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.926238373350638,0.926238373350638,0.0,4
22,0.00600123405456543,0.0,5.0826404094696045,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9070920456995041,0.9070920456995041,0.0,12
22,0.007006168365478516,0.0,4.559634447097778,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9276485788113695,0.9276485788113695,0.0,4
22,0.007006168365478516,0.0,5.102632999420166,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9097329507834916,0.9097329507834916,0.0,9
22,0.007003068923950195,0.0,4.540642738342285,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9279475982532751,0.9279475982532751,0.0,3
22,0.007003068923950195,0.0,5.352641582489014,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9127982646420825,0.9127982646420825,0.0,7
22,0.007003068923950195,0.0,4.480648040771484,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9311306586569406,0.9311306586569406,0.0,1
22,0.007005214691162109,0.0,5.313639163970947,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9093298291721418,0.9093298291721418,0.0,10
22,0.01601243019104004,0.0,4.535627365112305,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9258378378378378,0.9258378378378378,0.0,6
22,0.007005214691162109,0.0,5.287639141082764,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9099567099567101,0.9099567099567101,0.0,8
22,0.01900458335876465,0.0,4.494636297225952,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9294320137693632,0.9294320137693632,0.0,2
22,0.022026777267456055,0.0,5.241625547409058,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9072615923009625,0.9072615923009625,0.0,11
22,0.008005857467651367,0.0,4.555638313293457,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9272727272727272,0.9272727272727272,0.0,5
21,0.01700282096862793,0.0,5.412940502166748,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9075993091537133,0.9075993091537133,0.0,11
21,0.00599217414855957,0.0,4.578601598739624,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9270182992465017,0.9270182992465017,0.0,6
21,0.00799250602722168,0.0,5.2609522342681885,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9098939929328622,0.9098939929328622,0.0,9
21,0.01600337028503418,0.0,4.54759669303894,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9275741710296684,0.9275741710296684,0.0,4
21,0.006994724273681641,0.0,5.3339502811431885,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9129116117850954,0.9129116117850954,0.0,7
21,0.006995439529418945,0.0,4.532602787017822,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9321888412017169,0.9321888412017169,0.0,1
21,0.00799250602722168,0.0,5.300950527191162,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9105228615182673,0.9105228615182673,0.0,8
21,0.00799250602722168,0.0,4.5456109046936035,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9273984442523767,0.9273984442523767,0.0,5
21,0.01600933074951172,0.0,5.375938177108765,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9094454072790294,0.9094454072790294,0.0,10
21,0.00799250602722168,0.0,4.567604303359985,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9296622929662294,0.9296622929662294,0.0,2
21,0.008998394012451172,0.0,5.401946067810059,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9075409836065573,0.9075409836065573,0.0,12
21,0.010996341705322266,0.0,4.585597991943359,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9278752436647173,0.9278752436647173,0.0,3
20,0.0070040225982666016,0.0,4.91386866569519,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9080310880829016,0.9080310880829016,0.0,12
20,0.0070040225982666016,0.0,4.50587797164917,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9268187688334052,0.9268187688334052,0.0,6
20,0.006008148193359375,0.0,4.881857633590698,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.909452296819788,0.909452296819788,0.0,11
20,0.0069959163665771484,0.0,4.531875371932983,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9281045751633987,0.9281045751633987,0.0,4
20,0.006002187728881836,0.0,4.891870737075806,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9142857142857143,0.9142857142857143,0.0,7
20,0.0070040225982666016,0.0,4.510874509811401,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9325890940317734,0.9325890940317734,0.0,1
20,0.0070040225982666016,0.0,4.958868741989136,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9104052573932091,0.9104052573932091,0.0,9
20,0.007997989654541016,0.0,4.478887557983398,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9275675675675676,0.9275675675675676,0.0,5
20,0.008004426956176758,0.0,4.79486870765686,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9112169770463403,0.9112169770463403,0.0,8
20,0.0070040225982666016,0.0,4.524868726730347,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9294623655913978,0.9294623655913978,0.0,2
20,0.0070040225982666016,0.0,4.8518688678741455,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.909925666812418,0.909925666812418,0.0,10
20,0.0070040225982666016,0.0,4.536870718002319,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9285404937202253,0.9285404937202253,0.0,3
19,0.009004592895507812,0.0,5.075870037078857,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9094836897818103,0.9094836897818103,0.0,11
19,0.00800013542175293,0.0,4.7438743114471436,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9265877287405814,0.9265877287405814,0.0,6
19,0.009004592895507812,0.0,5.011868953704834,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.910414827890556,0.910414827890556,0.0,10
19,0.00800013542175293,0.0,4.708883762359619,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9294117647058824,0.9294117647058824,0.0,3
19,0.00800013542175293,0.0,5.015875577926636,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9146447140381282,0.9146447140381282,0.0,7
19,0.009004592895507812,0.0,4.707879304885864,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.932789349366545,0.932789349366545,0.0,1
19,0.00800013542175293,0.0,5.119874715805054,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9122346246443424,0.9122346246443424,0.0,9
19,0.00800013542175293,0.0,4.692472457885742,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9276116168183789,0.9276116168183789,0.0,5
19,0.009004592895507812,0.0,5.163870334625244,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9132222462670417,0.9132222462670417,0.0,8
19,0.005997419357299805,0.0,4.771873235702515,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9298924731182796,0.9298924731182796,0.0,2
