n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'n_neighbors': 25, 'p': 2}",0.9240953221535746,"{'n_neighbors': 15, 'p': 2}",0.926972643002487,"{'n_neighbors': 15, 'p': 2}",0.9341844596081884,"{'n_neighbors': 25, 'p': 2}",0.9269239060142271,"{'n_neighbors': 15, 'p': 2}",0.9267778012238869,0.927790826400473,0.003375870029218284
25,"{'n_neighbors': 25, 'p': 2}",0.9258605472197705,"{'n_neighbors': 15, 'p': 2}",0.9264539488572073,"{'n_neighbors': 15, 'p': 2}",0.934386657888962,"{'n_neighbors': 15, 'p': 2}",0.9282029234737748,"{'n_neighbors': 15, 'p': 2}",0.9289479232553236,0.9287704001390077,0.0030242052142300186
24,"{'n_neighbors': 25, 'p': 2}",0.9258605472197705,"{'n_neighbors': 15, 'p': 2}",0.9264539488572073,"{'n_neighbors': 15, 'p': 2}",0.934386657888962,"{'n_neighbors': 15, 'p': 2}",0.9282029234737748,"{'n_neighbors': 15, 'p': 2}",0.9289479232553236,0.9287704001390077,0.0030242052142300186
23,"{'n_neighbors': 25, 'p': 2}",0.9266358228684731,"{'n_neighbors': 15, 'p': 2}",0.9276999548124717,"{'n_neighbors': 15, 'p': 2}",0.935618545374643,"{'n_neighbors': 15, 'p': 2}",0.9295835122370115,"{'n_neighbors': 15, 'p': 2}",0.929957805907173,0.9298991282399545,0.0031080641757273105
22,"{'n_neighbors': 15, 'p': 2}",0.9278803869832893,"{'n_neighbors': 15, 'p': 2}",0.9282967654376838,"{'n_neighbors': 15, 'p': 2}",0.9373764007910349,"{'n_neighbors': 15, 'p': 2}",0.9311306586569406,"{'n_neighbors': 15, 'p': 2}",0.9298986486486487,0.9309165721035194,0.0034320021834213046
21,"{'n_neighbors': 15, 'p': 2}",0.9276127612761277,"{'n_neighbors': 15, 'p': 2}",0.9278443790997511,"{'n_neighbors': 15, 'p': 2}",0.9365253678893037,"{'n_neighbors': 15, 'p': 2}",0.9321888412017169,"{'n_neighbors': 15, 'p': 2}",0.929957805907173,0.9308258310748145,0.0032957201825476027
20,"{'n_neighbors': 25, 'p': 2}",0.9278623428193249,"{'n_neighbors': 15, 'p': 2}",0.9285391225689733,"{'n_neighbors': 15, 'p': 2}",0.9369646386997583,"{'n_neighbors': 15, 'p': 2}",0.9325890940317734,"{'n_neighbors': 15, 'p': 2}",0.930409110080135,0.931272861639993,0.0032857214884694868
19,"{'n_neighbors': 15, 'p': 2}",0.9279120879120879,"{'n_neighbors': 15, 'p': 2}",0.9288135593220339,"{'n_neighbors': 15, 'p': 2}",0.936375603334796,"{'n_neighbors': 15, 'p': 2}",0.932789349366545,"{'n_neighbors': 15, 'p': 2}",0.9308016877637132,0.9313384575398352,0.0030292298189892306
18,"{'n_neighbors': 15, 'p': 2}",0.9312472454825914,"{'n_neighbors': 15, 'p': 2}",0.9310110834652794,"{'n_neighbors': 10, 'p': 2}",0.9370691572159218,"{'n_neighbors': 15, 'p': 2}",0.9325601374570447,"{'n_neighbors': 15, 'p': 2}",0.932574799831437,0.9328924846904549,0.002186433367810582
17,"{'n_neighbors': 15, 'p': 2}",0.9308370044052864,"{'n_neighbors': 15, 'p': 2}",0.9314324507807197,"{'n_neighbors': 10, 'p': 2}",0.9383759733036707,"{'n_neighbors': 15, 'p': 2}",0.9327026445925608,"{'n_neighbors': 15, 'p': 2}",0.934626739772248,0.933594962570897,0.002720354744532464
16,"{'n_neighbors': 15, 'p': 2}",0.9313984168865436,"{'n_neighbors': 25, 'p': 2}",0.9333333333333332,"{'n_neighbors': 10, 'p': 2}",0.9391111111111111,"{'n_neighbors': 15, 'p': 2}",0.934941835415769,"{'n_neighbors': 15, 'p': 2}",0.9339801729592913,0.9345529739412097,0.002557134415491107
