n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,3.907219171524048,0.0,0.0019998550415039062,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.952359750667854,0.952359750667854,0.0,21
26,1.9560086727142334,0.0,0.002999544143676758,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9556848701880035,0.9556848701880035,0.0,15
26,1.379145622253418,0.0,0.003001689910888672,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9567942690843966,0.9567942690843966,0.0,7
26,0.785602331161499,0.0,0.00299835205078125,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9557443004023245,0.9557443004023245,0.0,13
26,1.3891501426696777,0.0,0.002999544143676758,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9556962025316456,0.9556962025316456,0.0,14
26,0.677898645401001,0.0,0.002998828887939453,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9597701149425287,0.9597701149425287,0.0,1
26,4.391677618026733,0.0,0.0019996166229248047,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.956366874443455,0.956366874443455,0.0,9
26,1.644223690032959,0.0,0.0020008087158203125,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9553511330491362,0.9553511330491362,0.0,16
26,1.5429461002349854,0.0,0.0039980411529541016,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.957803081044876,0.957803081044876,0.0,5
26,1.3088486194610596,0.0,0.0030014514923095703,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9587697793626031,0.9587697793626031,0.0,3
26,0.8552799224853516,0.0,0.0029981136322021484,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9559352517985611,0.9559352517985611,0.0,12
26,0.930001974105835,0.0,0.0039975643157958984,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.95899619090298,0.95899619090298,0.0,2
26,3.9965617656707764,0.0,0.0020003318786621094,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9559748427672956,0.9559748427672956,0.0,10
26,1.8276357650756836,0.0,0.003068208694458008,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9547806524184478,0.9547806524184478,0.0,18
26,1.4505362510681152,0.0,0.004000425338745117,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9559748427672956,0.9559748427672956,0.0,10
26,0.8907356262207031,0.0,0.0029993057250976562,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9549143372407575,0.9549143372407575,0.0,17
26,0.5745499134063721,0.0,0.002997159957885742,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.0,0.0,0.0,24
26,0.9426314830780029,0.0,0.0019998550415039062,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9567762269248086,0.9567762269248086,0.0,8
26,2.8168399333953857,0.0,0.0020058155059814453,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9570060147026063,0.9570060147026063,0.0,6
26,1.4898719787597656,0.0,0.0020499229431152344,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.953114382785957,0.953114382785957,0.0,20
26,1.1292250156402588,0.0,0.0018107891082763672,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9493150684931507,0.9493150684931507,0.0,23
26,0.8604867458343506,0.0,0.0034265518188476562,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9583146571044374,0.9583146571044374,0.0,4
26,1.0655691623687744,0.0,0.0031385421752929688,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9521857923497269,0.9521857923497269,0.0,22
26,0.8302266597747803,0.0,0.003000497817993164,0.0,"(20, 20)",0.1,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9537414965986395,0.9537414965986395,0.0,19
25,3.487994909286499,0.0,0.0015716552734375,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9474625530963559,0.9474625530963559,0.0,24
25,2.3789005279541016,0.0,0.0037298202514648438,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9553310886644218,0.9553310886644218,0.0,13
25,2.0653085708618164,0.0,0.0029993057250976562,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9583611667780004,0.9583611667780004,0.0,8
25,0.9264445304870605,0.0,0.003320455551147461,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9584905660377359,0.9584905660377359,0.0,6
25,1.0826056003570557,0.0,0.0019998550415039062,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9583427156045935,0.9583427156045935,0.0,9
25,0.8497164249420166,0.0,0.003000497817993164,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9595195729537367,0.9595195729537367,0.0,4
25,4.12924599647522,0.0,0.0019998550415039062,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9513609995537706,0.9513609995537706,0.0,21
25,2.138925313949585,0.0,0.01800704002380371,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9553110262744218,0.9553110262744218,0.0,14
25,1.360635757446289,0.0,0.0039997100830078125,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9564829279178755,0.9564829279178755,0.0,11
25,1.0668284893035889,0.0,0.002998828887939453,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9567361578121497,0.9567361578121497,0.0,10
25,0.8156991004943848,0.0,0.0039958953857421875,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9529411764705883,0.9529411764705883,0.0,20
25,1.1468181610107422,0.0,0.0030477046966552734,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9599114064230343,0.9599114064230343,0.0,1
25,2.83705735206604,0.0,0.002000093460083008,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.950316169828365,0.950316169828365,0.0,22
25,1.5161652565002441,0.0,0.002999544143676758,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9555455770094298,0.9555455770094298,0.0,12
25,2.195383310317993,0.0,0.0030002593994140625,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9583802024746907,0.9583802024746907,0.0,7
25,1.360872745513916,0.0,0.002999544143676758,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9543907420013614,0.9543907420013614,0.0,16
25,1.1917011737823486,0.0,0.003887653350830078,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9496567505720825,0.9496567505720825,0.0,23
25,1.3604073524475098,0.0,0.003002166748046875,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9596631205673758,0.9596631205673758,0.0,3
25,3.1924192905426025,0.0,0.002000093460083008,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9531074713933139,0.9531074713933139,0.0,19
25,1.9143004417419434,0.0,0.002000093460083008,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.953262587491533,0.953262587491533,0.0,18
25,1.547271490097046,0.0,0.003000497817993164,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9587145726400357,0.9587145726400357,0.0,5
25,1.0179920196533203,0.0,0.004000425338745117,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9551700833521064,0.9551700833521064,0.0,15
25,0.9809489250183105,0.0,0.0020003318786621094,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9535408209291836,0.9535408209291836,0.0,17
25,0.8515512943267822,0.0,0.002998828887939453,0.0,"(20, 20)",0.1,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9598402485023296,0.9598402485023296,0.0,2
24,3.6575002670288086,0.0,0.002001523971557617,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9465002229157379,0.9465002229157379,0.0,23
24,2.014502763748169,0.0,0.003998517990112305,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9557800224466891,0.9557800224466891,0.0,17
24,2.004503011703491,0.0,0.003000020980834961,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9552909458548641,0.9552909458548641,0.0,20
24,1.0005052089691162,0.0,0.0029969215393066406,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.959804574727959,0.959804574727959,0.0,2
24,0.8045065402984619,0.0,0.0030007362365722656,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9596094096759875,0.9596094096759875,0.0,3
24,0.657503604888916,0.0,0.0030012130737304688,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9558558558558558,0.9558558558558558,0.0,16
24,4.233969688415527,0.0,0.0019998550415039062,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9523383307227568,0.9523383307227568,0.0,22
24,1.927504539489746,0.0,0.0029993057250976562,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9570853822083147,0.9570853822083147,0.0,12
24,1.4835045337677002,0.0,0.004000425338745117,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9573375027920482,0.9573375027920482,0.0,10
