n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9597701149425287,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9602739726027398,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9668141592920354,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.963928726640591,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9609292502639917,0.9623432447483774,0.0026610183877441187
25,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9599114064230343,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9608200455580866,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9676282757101959,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9621574597651152,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9612141652613828,0.962346270543563,0.00273769305993443
24,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.960497114957834,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9605621033544878,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9670763827919228,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.963465324874207,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9614168247944338,0.962603550154577,0.0024803942761254
23,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9604092526690392,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9603825136612022,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.967599735508045,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9639344262295082,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.961082910321489,0.9626817676778566,0.0027843419104056407
22,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9603016189842537,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9609977324263038,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9672455484721917,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9624093207298308,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9610499576629974,0.9624008356551155,0.002516807300051003
21,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9600178691087782,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9613034623217924,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9662921348314606,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9634623749456285,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9627434377646062,0.9627638557944532,0.0021265131476848184
20,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9606404269513008,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9612932604735883,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9672455484721917,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9623994783742665,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9611978068325602,0.9625553042207816,0.0024135029052544913
19,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9608714984437527,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9603624009060023,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9680123538495478,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9637282919322928,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9618905684479455,0.9629730227159083,0.0027701533389591446
18,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9614441720525964,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9610034207525656,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9663716814159291,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9637712789175034,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9616033755274261,0.962838785733204,0.0020095096790318915
17,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9606404269513008,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9612508497620667,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9674994472695115,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9633986928104574,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9615302869287992,0.9628639407444272,0.0024939362109628435
16,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9616322909736084,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9607485166590597,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9671444321940464,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9634464751958225,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9622283182105928,0.963040006646626,0.00223172371283587
15,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.960819234194123,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9608557123350022,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9682539682539681,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9637870855148344,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.962460233297985,0.9632352467191826,0.0027419714845302347
14,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9613333333333333,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9604752113319626,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9668350538106742,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9639718804920914,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9613752122241086,0.9627981382384341,0.0023341259383536533
13,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9609062638827188,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9623201644211007,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9673721340388007,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.964340406913148,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9617417036567322,0.9633361345825001,0.0023141534732562027
12,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9608540925266904,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9605621033544878,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.967685205539679,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9639913232104121,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9622760800842992,0.9630737609431137,0.0026068750739323553
11,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9612989323843417,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9605653065876454,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.968141592920354,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9651112080244222,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.960829980944315,0.9631894041722155,0.002974698409116298
10,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9615470104467658,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9614687216681775,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9683418197918972,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9640757674722403,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9616769002752488,0.963422043930866,0.0026460647686133492
9,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9614956599154241,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9609921082299887,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.968239964711072,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9652002626395273,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9613752122241086,0.9634606415440242,0.002834503006264124
8,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9612059410330304,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9616788321167883,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9689084895259097,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9649890590809628,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9615629645359949,0.9636690572585372,0.0029549152105175914
7,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9611024672149366,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9613460663938154,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9684396380489958,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9650076070419473,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9602032176121931,0.9632197992623777,0.0030833977469361543
6,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.961666297363173,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9610921501706484,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.968026460859978,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9653356735410268,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9615629645359949,0.9635367092941642,0.0027116091146983847
5,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9609984399375976,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9618982432124116,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9686395759717316,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9652459016393443,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9614733276883998,0.963651097689897,0.0029079232918013476
4,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9621549421193232,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9620484682213077,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9681838267786125,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9654266958424508,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9618158676283411,0.963925960118007,0.002509805056290034
3,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9624861265260821,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9613006640714449,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9679274496792746,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.965230701946206,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9623964308476737,0.9638682746141363,0.002408418225879287
