n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.004996061325073242,0.0,0.002001047134399414,0.0,{},0.8666974169741697,0.8666974169741697,0.0,1
25,0.004000186920166016,0.0,0.0019996166229248047,0.0,{},0.8682634730538922,0.8682634730538922,0.0,1
24,0.0049991607666015625,0.0,0.0010001659393310547,0.0,{},0.868584579976985,0.868584579976985,0.0,1
23,0.00500798225402832,0.0,0.001992940902709961,0.0,{},0.8687240902809764,0.8687240902809764,0.0,1
22,0.005001068115234375,0.0,0.0009987354278564453,0.0,{},0.8681242807825086,0.8681242807825086,0.0,1
21,0.0040018558502197266,0.0,0.0019981861114501953,0.0,{},0.8695652173913043,0.8695652173913043,0.0,1
20,0.003999948501586914,0.0,0.0019998550415039062,0.0,{},0.8695652173913043,0.8695652173913043,0.0,1
19,0.005003452301025391,0.0,0.002999544143676758,0.0,{},0.870085077029202,0.870085077029202,0.0,1
18,0.0029997825622558594,0.0,0.002000093460083008,0.0,{},0.8712643678160921,0.8712643678160921,0.0,1
17,0.003999471664428711,0.0,0.0019996166229248047,0.0,{},0.8730195177956372,0.8730195177956372,0.0,1
16,0.0029997825622558594,0.0,0.0019989013671875,0.0,{},0.8732200275608635,0.8732200275608635,0.0,1
15,0.0029973983764648438,0.0,0.0020020008087158203,0.0,{},0.8734206294509534,0.8734206294509534,0.0,1
14,0.004000425338745117,0.0,0.0009996891021728516,0.0,{},0.8706639099471629,0.8706639099471629,0.0,1
13,0.0030059814453125,0.0,0.0009942054748535156,0.0,{},0.8666513656185449,0.8666513656185449,0.0,1
12,0.002999544143676758,0.0,0.0019998550415039062,0.0,{},0.8699428571428572,0.8699428571428572,0.0,1
11,0.0029993057250976562,0.0,0.002000093460083008,0.0,{},0.8677176148046607,0.8677176148046607,0.0,1
10,0.004001140594482422,0.0,0.002001047134399414,0.0,{},0.8710928587725302,0.8710928587725302,0.0,1
9,0.002995014190673828,0.0,0.002000570297241211,0.0,{},0.8817934782608695,0.8817934782608695,0.0,1
8,0.0020003318786621094,0.0,0.0019998550415039062,0.0,{},0.8896396396396395,0.8896396396396395,0.0,1
7,0.002999544143676758,0.0,0.0019998550415039062,0.0,{},0.8935883014623173,0.8935883014623173,0.0,1
6,0.0019998550415039062,0.0,0.002000570297241211,0.0,{},0.872046366473473,0.872046366473473,0.0,1
5,0.0019998550415039062,0.0,0.0010001659393310547,0.0,{},0.8770912335489628,0.8770912335489628,0.0,1
4,0.002001523971557617,0.0,0.002000093460083008,0.0,{},0.8132516451100522,0.8132516451100522,0.0,1
3,0.0019998550415039062,0.0,0.0010008811950683594,0.0,{},0.9132398383646304,0.9132398383646304,0.0,1
2,0.002000093460083008,0.0,0.0019996166229248047,0.0,{},0.7785675232367414,0.7785675232367414,0.0,1
1,0.0020003318786621094,0.0,0.0010004043579101562,0.0,{},0.0,0.0,0.0,1
