n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,{},0.859417652411283,{},0.8568097014925373,{},0.8666974169741697,{},0.8498519024834815,{},0.8453423120089787,0.8556237970740901,0.007449140455245608
25,{},0.8601954989770403,{},0.8567428838077462,{},0.8682634730538922,{},0.8503075871496923,{},0.8439254435212217,0.8558869773019186,0.008326841741354814
24,{},0.8594815825375169,{},0.8564760793465577,{},0.868584579976985,{},0.8503075871496923,{},0.8442346594740391,0.8558168976969582,0.008262915843576817
23,{},0.8603910868576625,{},0.8576761549230051,{},0.8687240902809764,{},0.8505694760820045,{},0.8458604442450078,0.8566442504777312,0.007927414460441942
22,{},0.8612374886260238,{},0.8594733162432999,{},0.8681242807825086,{},0.8503075871496923,{},0.8482403048643801,0.8574765955331809,0.007324044758736369
21,{},0.8612374886260238,{},0.8602752507581058,{},0.8695652173913043,{},0.8510250569476081,{},0.8484304932735426,0.8581067013993169,0.00761026563994668
20,{},0.8615594453284837,{},0.8608067148519467,{},0.8695652173913043,{},0.8512189564821143,{},0.8481722359273379,0.8582645139962374,0.007700898807322042
19,{},0.8621394503747445,{},0.86074177746676,{},0.870085077029202,{},0.8520036429872495,{},0.8478456014362658,0.8585631098588443,0.00785091235378211
18,{},0.8639455782312926,{},0.8603351955307262,{},0.8712643678160921,{},0.8532423208191126,{},0.8483083127940848,0.8594191550382616,0.008040407939951257
17,{},0.8658067436071509,{},0.8642607683352734,{},0.8730195177956372,{},0.855,{},0.8508732646663683,0.861792058880886,0.007919850812285831
16,{},0.8661239258254185,{},0.8648522912305188,{},0.8732200275608635,{},0.8567536889897843,{},0.8526715850659512,0.8627243037345071,0.007251915234506996
15,{},0.8652193577566712,{},0.8651789865178986,{},0.8734206294509534,{},0.8571428571428571,{},0.8508830762351889,0.8623689814207139,0.007712303041057995
14,{},0.8637392485287462,{},0.8640483383685801,{},0.8706639099471629,{},0.8558476881233,{},0.8497200447928331,0.8608038459521244,0.007263309574518416
13,{},0.8618659420289856,{},0.8602650546384563,{},0.8666513656185449,{},0.8522212148685402,{},0.8470165993719156,0.8576040353052885,0.007045106303068903
12,{},0.8641526578827805,{},0.8632261050682712,{},0.8699428571428572,{},0.8554599003171727,{},0.8479676622501684,0.8601498365322501,0.00763924252122237
11,{},0.8609722853248524,{},0.8603843482287568,{},0.8677176148046607,{},0.8568197240443339,{},0.8471380471380471,0.8586064039081303,0.0067303503152198844
10,{},0.8644605621033545,{},0.8617660656495608,{},0.8710928587725302,{},0.8590178773478163,{},0.8509205208801078,0.8614515769506739,0.00661714811195264
9,{},0.8721296713192256,{},0.8673752310536045,{},0.8817934782608695,{},0.8662908680947012,{},0.8598882681564245,0.869495503376965,0.007283450248247899
8,{},0.8795505617977529,{},0.8810674028065332,{},0.8896396396396395,{},0.8756174225415357,{},0.8689471346068415,0.8789644322784606,0.0067863806536384704
7,{},0.8847967662250169,{},0.8897547559019024,{},0.8935883014623173,{},0.8832623795653148,{},0.8823788546255505,0.8867562115560205,0.004263244359948095
6,{},0.8657521924893186,{},0.8593536640873919,{},0.872046366473473,{},0.8745808182427901,{},0.8599867285998674,0.8663439539785683,0.006164285686236499
5,{},0.8665168539325843,{},0.861496474869229,{},0.8770912335489628,{},0.876203268412805,{},0.8604342046964998,0.8683484070920162,0.007086240505991915
4,{},0.8179310344827586,{},0.8094582185491277,{},0.8132516451100522,{},0.815071659731854,{},0.8003654636820465,0.8112156043111678,0.006081539021003928
3,{},0.9186896064105586,{},0.9294841457643161,{},0.9132398383646304,{},0.8982237157945271,{},0.8220950485195322,0.8963464709707128,0.03846948098965728
2,{},0.8141025641025642,{},0.8942598187311177,{},0.7785675232367414,{},0.6827706635622817,{},0.4560585885486019,0.7251518316362613,0.15071185560364692
1,{},0.0,{},0.0,{},0.0,{},0.0,{},0.0,0.0,0.0
