n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.0050008296966552734,0.0,0.001001119613647461,0.0,{},0.9393619268962602,0.9393619268962602,0.0,1
25,0.004998445510864258,0.0,0.002021312713623047,0.0,{},0.9387410223912125,0.9387410223912125,0.0,1
24,0.003995418548583984,0.0,0.0020008087158203125,0.0,{},0.9385167969575323,0.9385167969575323,0.0,1
23,0.003999233245849609,0.0,0.0020067691802978516,0.0,{},0.9383185466835657,0.9383185466835657,0.0,1
22,0.0049991607666015625,0.0,0.0009999275207519531,0.0,{},0.9385167969575323,0.9385167969575323,0.0,1
21,0.0040013790130615234,0.0,0.001998424530029297,0.0,{},0.9380680617205663,0.9380680617205663,0.0,1
20,0.003999948501586914,0.0,0.0020017623901367188,0.0,{},0.9378698224852071,0.9378698224852071,0.0,1
19,0.003999948501586914,0.0,0.0009999275207519531,0.0,{},0.9374471682163991,0.9374471682163991,0.0,1
18,0.0030105113983154297,0.0,0.0010004043579101562,0.0,{},0.9364308342133051,0.9364308342133051,0.0,1
17,0.00500035285949707,0.0,0.0009996891021728516,0.0,{},0.9356132573358665,0.9356132573358665,0.0,1
16,0.003999471664428711,0.0,0.0009996891021728516,0.0,{},0.9357836924376849,0.9357836924376849,0.0,1
15,0.0029997825622558594,0.0,0.002000093460083008,0.0,{},0.934768841038632,0.934768841038632,0.0,1
14,0.0030002593994140625,0.0,0.00099945068359375,0.0,{},0.934768841038632,0.934768841038632,0.0,1
13,0.0029997825622558594,0.0,0.0009996891021728516,0.0,{},0.934374340578181,0.934374340578181,0.0,1
12,0.0030012130737304688,0.0,0.0010018348693847656,0.0,{},0.9341772151898734,0.9341772151898734,0.0,1
11,0.0030012130737304688,0.0,0.002000570297241211,0.0,{},0.9339801729592913,0.9339801729592913,0.0,1
10,0.002998828887939453,0.0,0.0009987354278564453,0.0,{},0.9335583210293187,0.9335583210293187,0.0,1
9,0.0029990673065185547,0.0,0.0019998550415039062,0.0,{},0.9335583210293187,0.9335583210293187,0.0,1
8,0.0029990673065185547,0.0,0.0019998550415039062,0.0,{},0.9329679595278245,0.9329679595278245,0.0,1
7,0.0029985904693603516,0.0,0.0009996891021728516,0.0,{},0.9323783442174004,0.9323783442174004,0.0,1
6,0.001996755599975586,0.0,0.0019998550415039062,0.0,{},0.9313105773282764,0.9313105773282764,0.0,1
5,0.002989530563354492,0.0,0.0010004043579101562,0.0,{},0.9306346194391736,0.9306346194391736,0.0,1
4,0.0029993057250976562,0.0,0.0010001659393310547,0.0,{},0.9306346194391736,0.9306346194391736,0.0,1
3,0.002000093460083008,0.0,0.0010006427764892578,0.0,{},0.930663856691254,0.930663856691254,0.0,1
2,0.002000093460083008,0.0,0.001999378204345703,0.0,{},0.9160941078492608,0.9160941078492608,0.0,1
1,0.0019998550415039062,0.0,0.0009999275207519531,0.0,{},0.0,0.0,0.0,1
