,feature,importance
0,mer8,0.5957382292685682
1,mer7,0.23227579805207071
2,mer6,0.07734734907206842
3,cpg,0.011077283164963352
4,gcs,0.009590498486142436
5,gc,0.008327204093581198
6,cm2,0.008080149970836722
7,cwf,0.007693732772220832
8,cm1,0.007519619677819197
9,ce,0.00727327526114965
10,ct6,0.004411191182004862
11,ct5,0.004301606807779493
12,ct4,0.003971005277585077
13,ct3,0.0038848581785751192
14,cm3,0.002866317958810998
15,cl4,0.0026379410443565627
16,cl6,0.002630473304124876
17,cl5,0.002574370574740641
18,cl3,0.002338986610648831
19,ct2,0.0019885665564870723
20,cl2,0.0018106567868349454
21,cm4,0.0010657534272333802
22,cm5,0.000345222299634066
23,cm6,9.400452899138923e-05
24,ct1,8.456590027580674e-05
25,cl1,7.133974249626731e-05
