n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,{},0.9382877009995654,{},0.9362549800796813,{},0.938801803736311,{},0.9393619268962602,{},0.936896197327852,0.9379205218079341,0.0011672529214998455
25,{},0.9368352507054483,{},0.9357838795394153,{},0.9375134206570754,{},0.9387410223912125,{},0.9362402303578775,0.9370227607302057,0.0010368713225291178
24,{},0.9364011287171695,{},0.9351339384547266,{},0.9364261168384879,{},0.9385167969575323,{},0.9359950607120806,0.9364946083359994,0.001113880307734277
23,{},0.9351269255803861,{},0.9346622369878184,{},0.935594675826535,{},0.9383185466835657,{},0.9358024691358025,0.9359009708428214,0.0012713614592921555
22,{},0.93472131858599,{},0.9348404255319148,{},0.9357955765514279,{},0.9385167969575323,{},0.9359950607120806,0.9359738356677891,0.0013676473604335858
21,{},0.9349240780911062,{},0.9342192691029899,{},0.9353383458646617,{},0.9380680617205663,{},0.935006170300288,0.9355111850159223,0.001329381283546745
20,{},0.9346929919722283,{},0.933569530558016,{},0.9352827348957213,{},0.9378698224852071,{},0.9344295991778007,0.9351689358177946,0.0014586965014506082
19,{},0.9340277777777778,{},0.9325370493253705,{},0.9352548935254894,{},0.9374471682163991,{},0.9341834635952284,0.9346900704880531,0.001627967767013193
18,{},0.9338251247559125,{},0.932713590084108,{},0.9352548935254894,{},0.9364308342133051,{},0.934156378600823,0.9344761642359277,0.0012696406518777164
17,{},0.9335649153278333,{},0.9320345361965906,{},0.9354283254412398,{},0.9356132573358665,{},0.9331413289446616,0.9339564726492384,0.001372800223065341
16,{},0.9329572575395965,{},0.930706220943104,{},0.935025817555938,{},0.9357836924376849,{},0.932674490426189,0.9334294957805025,0.0018055333280027042
15,{},0.93235039028621,{},0.9304694419840567,{},0.9348246934824693,{},0.934768841038632,{},0.9324546952224053,0.9329736124027548,0.0016479015353622166
14,{},0.9321482766095817,{},0.930232558139535,{},0.9343944934394494,{},0.934768841038632,{},0.9326467559217302,0.9328381850297855,0.0016402096642418099
13,{},0.9319462505418292,{},0.9300265721877767,{},0.9341935483870968,{},0.934374340578181,{},0.9326467559217302,0.9326374935233229,0.0015957917973809998
12,{},0.9319462505418292,{},0.930232558139535,{},0.9341935483870968,{},0.9341772151898734,{},0.9324546952224053,0.932600853496148,0.001488642560861422
11,{},0.9319462505418292,{},0.9289665855277716,{},0.9331614012465076,{},0.9339801729592913,{},0.93220688234082,0.9320522585232439,0.0017031485962981194
10,{},0.9309075157028375,{},0.928729526339088,{},0.9327315710294434,{},0.9335583210293187,{},0.9311340206185567,0.9314121909438489,0.0016658573386951158
9,{},0.9308775731310943,{},0.9282550930026571,{},0.9323017408123792,{},0.9335583210293187,{},0.9307216494845361,0.9311428754919971,0.001775637934509848
8,{},0.9306157849089332,{},0.9280495904361302,{},0.9310122501611864,{},0.9329679595278245,{},0.9303380049464137,0.9305967179960974,0.0015716620615130452
7,{},0.9303838646714379,{},0.9280814339455632,{},0.9310122501611864,{},0.9323783442174004,{},0.9302517540239372,0.930421529403905,0.0013917157966528294
6,{},0.9292841648590022,{},0.9259013492590136,{},0.9308122045552213,{},0.9313105773282764,{},0.9296181630546956,0.9293852918112417,0.0018944717303120515
5,{},0.9275488069414317,{},0.923860115095175,{},0.9301825993555317,{},0.9306346194391736,{},0.9285714285714286,0.9281595138805482,0.002418532156459556
4,{},0.9263112267013438,{},0.9236556760345209,{},0.9301825993555317,{},0.9306346194391736,{},0.9281585466556566,0.9277885336372453,0.002578046253908768
3,{},0.9261105092091008,{},0.9236556760345209,{},0.9302125832080739,{},0.930663856691254,{},0.9279669762641899,0.9277219202814277,0.0026095759045423046
2,{},0.9132011089784602,{},0.9138755980861244,{},0.9189074740630955,{},0.9160941078492608,{},0.9165309446254072,0.9157218467204696,0.0020349050158511646
1,{},0.0,{},0.0,{},0.0,{},0.0,{},0.0,0.0,0.0
