,feature,importance
0,mer8,0.6162430985215245
1,mer7,0.21490260955217752
2,mer6,0.0725297460021661
3,cpg,0.011803439288739762
4,gcs,0.009717169187570427
5,gc,0.008613959518978849
6,cm2,0.0077667397682724465
7,cwf,0.0077046366789877445
8,ce,0.007693470924634066
9,cm1,0.007691571669720907
10,ct5,0.004246703037397945
11,ct6,0.0042314416100290644
12,ct4,0.003986321583337128
13,ct3,0.0037222818505055597
14,cm3,0.0030234971126894008
15,cl6,0.002964380775140634
16,cl4,0.0028385112031343884
17,cl5,0.0026040407774451965
18,cl3,0.0025113540501441045
19,ct2,0.0018013596329956927
20,cl2,0.0016698621924654351
21,cm4,0.0010939626561254454
22,cm5,0.000343558160531778
23,cl1,0.00010827962582725764
24,ct1,0.00010170870263990482
25,cm6,8.62959168186713e-05
