n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,1.8609988689422607,0.0,0.061998844146728516,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9589157136806439,0.9589157136806439,0.0,11
26,3.569182872772217,0.0,0.11800241470336914,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9598138747884941,0.9598138747884941,0.0,6
26,6.616105556488037,0.0,0.18300104141235352,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9608962164447262,0.9608962164447262,0.0,1
26,9.224105834960938,0.0,0.2760014533996582,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9606931530008453,0.9606931530008453,0.0,2
26,12.053105592727661,0.0,0.3489999771118164,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9602704987320373,0.9602704987320373,0.0,3
26,14.469513654708862,0.0,0.4398341178894043,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.959864807773553,0.959864807773553,0.0,4
26,1.995999813079834,0.0,0.05499744415283203,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9585798816568046,0.9585798816568046,0.0,12
26,3.7131831645965576,0.0,0.10699915885925293,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.959830866807611,0.959830866807611,0.0,5
26,6.78610634803772,0.0,0.18500447273254395,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9596109113977586,0.9596109113977586,0.0,8
26,9.74710726737976,0.0,0.26200127601623535,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9597968683876428,0.9597968683876428,0.0,7
26,12.291107654571533,0.0,0.34299802780151367,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.959425190194421,0.959425190194421,0.0,9
26,15.069625854492188,0.0,0.4331035614013672,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9594080338266385,0.9594080338266385,0.0,10
25,1.7634944915771484,0.0,0.060999393463134766,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9614733276883998,0.9614733276883998,0.0,1
25,3.6114933490753174,0.0,0.1040043830871582,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9606099110546378,0.9606099110546378,0.0,2
25,6.510401964187622,0.0,0.18300318717956543,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9597286986011022,0.9597286986011022,0.0,7
25,9.188875675201416,0.0,0.27700042724609375,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9601863617111392,0.9601863617111392,0.0,4
25,12.231875896453857,0.0,0.35000061988830566,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.96,0.96,0.0,5
25,14.92229175567627,0.0,0.44391369819641113,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9604065212788482,0.9604065212788482,0.0,3
25,1.910494089126587,0.0,0.06000185012817383,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9598138747884941,0.9598138747884941,0.0,6
25,3.5454962253570557,0.0,0.09799933433532715,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9594423320659062,0.9594423320659062,0.0,8
25,6.834400653839111,0.0,0.20400047302246094,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.959425190194421,0.959425190194421,0.0,9
25,9.4308762550354,0.0,0.26199817657470703,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9592052420207144,0.9592052420207144,0.0,10
25,12.118874549865723,0.0,0.34800100326538086,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9591707213877724,0.9591707213877724,0.0,11
25,14.924294233322144,0.0,0.4344642162322998,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9589852008456659,0.9589852008456659,0.0,12
24,1.6371428966522217,0.0,0.06400346755981445,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9594423320659062,0.9594423320659062,0.0,8
24,3.175142288208008,0.0,0.11800050735473633,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9592224804563702,0.9592224804563702,0.0,10
24,5.790146589279175,0.0,0.19699788093566895,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9604901753644624,0.9604901753644624,0.0,2
24,8.168550252914429,0.0,0.28299975395202637,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9605068637803591,0.9605068637803591,0.0,1
24,10.570557117462158,0.0,0.36199426651000977,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9600507292327204,0.9600507292327204,0.0,4
24,12.751807451248169,0.0,0.45647549629211426,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9602872834812,0.9602872834812,0.0,3
24,1.6601502895355225,0.0,0.05599641799926758,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9598986914309835,0.9598986914309835,0.0,6
24,3.439145088195801,0.0,0.1170046329498291,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9584300485334459,0.9584300485334459,0.0,12
24,6.113144874572754,0.0,0.19100332260131836,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.959915611814346,0.959915611814346,0.0,5
