n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'entropy', 'n_estimators': 100}",0.9615299088281077,"{'criterion': 'entropy', 'n_estimators': 600}",0.9606549920400274,"{'criterion': 'entropy', 'n_estimators': 400}",0.9656084656084657,"{'criterion': 'gini', 'n_estimators': 400}",0.9632528810611003,"{'criterion': 'gini', 'n_estimators': 400}",0.9608962164447262,0.9623884927964855,0.001848484351857578
25,"{'criterion': 'gini', 'n_estimators': 1000}",0.9617607825700311,"{'criterion': 'entropy', 'n_estimators': 800}",0.9604005461993627,"{'criterion': 'gini', 'n_estimators': 400}",0.9657912160670933,"{'criterion': 'entropy', 'n_estimators': 400}",0.9637193134912012,"{'criterion': 'gini', 'n_estimators': 100}",0.9614733276883998,0.9626290372032177,0.0019101717355376293
24,"{'criterion': 'entropy', 'n_estimators': 600}",0.960497114957834,"{'criterion': 'entropy', 'n_estimators': 1000}",0.96,"{'criterion': 'gini', 'n_estimators': 800}",0.9651675485008819,"{'criterion': 'gini', 'n_estimators': 100}",0.9619978284473398,"{'criterion': 'gini', 'n_estimators': 600}",0.9605068637803591,0.9616338711372829,0.0018895097629214853
23,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9611370197646014,"{'criterion': 'gini', 'n_estimators': 200}",0.960163897109037,"{'criterion': 'gini', 'n_estimators': 600}",0.9656084656084657,"{'criterion': 'gini', 'n_estimators': 800}",0.9628825700021707,"{'criterion': 'gini', 'n_estimators': 100}",0.9617255233664622,0.9623034951701473,0.0018724718101988385
22,"{'criterion': 'gini', 'n_estimators': 200}",0.9615470104467658,"{'criterion': 'gini', 'n_estimators': 800}",0.960163897109037,"{'criterion': 'gini', 'n_estimators': 100}",0.9655781112091791,"{'criterion': 'gini', 'n_estimators': 1000}",0.9632688545968268,"{'criterion': 'gini', 'n_estimators': 400}",0.9613189600507293,0.9623753666825076,0.001884073239314357
21,"{'criterion': 'gini', 'n_estimators': 100}",0.9617777777777778,"{'criterion': 'gini', 'n_estimators': 100}",0.9603825136612022,"{'criterion': 'gini', 'n_estimators': 400}",0.9653651003750275,"{'criterion': 'gini', 'n_estimators': 200}",0.9631076388888887,"{'criterion': 'gini', 'n_estimators': 100}",0.9611322348964934,0.962353053119878,0.001751924254185792
20,"{'criterion': 'gini', 'n_estimators': 600}",0.9615299088281077,"{'criterion': 'gini', 'n_estimators': 400}",0.9599453800637233,"{'criterion': 'gini', 'n_estimators': 600}",0.9658063092874477,"{'criterion': 'gini', 'n_estimators': 800}",0.9638973466724663,"{'criterion': 'gini', 'n_estimators': 100}",0.9613026009727215,0.9624963091648933,0.0020873483201004003
19,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9624360969104245,"{'criterion': 'gini', 'n_estimators': 400}",0.960163897109037,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9660344067048964,"{'criterion': 'gini', 'n_estimators': 600}",0.9634623749456285,"{'criterion': 'entropy', 'n_estimators': 400}",0.96,0.9624193551339972,0.0022404079379233516
18,"{'criterion': 'entropy', 'n_estimators': 200}",0.9621717846016911,"{'criterion': 'gini', 'n_estimators': 800}",0.9603825136612022,"{'criterion': 'gini', 'n_estimators': 600}",0.9655781112091791,"{'criterion': 'entropy', 'n_estimators': 400}",0.9641382308193871,"{'criterion': 'entropy', 'n_estimators': 400}",0.961082910321489,0.9626707101225896,0.0019293768944151878
17,"{'criterion': 'entropy', 'n_estimators': 100}",0.9623356362825942,"{'criterion': 'gini', 'n_estimators': 600}",0.96058327637275,"{'criterion': 'gini', 'n_estimators': 1000}",0.9664310954063604,"{'criterion': 'gini', 'n_estimators': 600}",0.9649466579577618,"{'criterion': 'gini', 'n_estimators': 400}",0.9610334603981364,0.9630660252835206,0.00226668508827126
