n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'entropy', 'n_estimators': 100}",0.961316140506892,"{'criterion': 'entropy', 'n_estimators': 600}",0.9604365620736698,"{'criterion': 'entropy', 'n_estimators': 400}",0.9656084656084657,"{'criterion': 'gini', 'n_estimators': 400}",0.9632528810611003,"{'criterion': 'gini', 'n_estimators': 400}",0.9606931530008453,0.9622614404501946,0.0019426183614263974
25,"{'criterion': 'gini', 'n_estimators': 1000}",0.9619746497665109,"{'criterion': 'entropy', 'n_estimators': 600}",0.9604005461993627,"{'criterion': 'gini', 'n_estimators': 400}",0.9657912160670933,"{'criterion': 'entropy', 'n_estimators': 400}",0.9637193134912012,"{'criterion': 'gini', 'n_estimators': 100}",0.9614733276883998,0.9626718106425136,0.001892563830889611
24,"{'criterion': 'entropy', 'n_estimators': 800}",0.960497114957834,"{'criterion': 'gini', 'n_estimators': 1000}",0.9599453800637233,"{'criterion': 'gini', 'n_estimators': 800}",0.9656084656084657,"{'criterion': 'gini', 'n_estimators': 100}",0.9619978284473398,"{'criterion': 'gini', 'n_estimators': 600}",0.9603040540540541,0.9616705686262834,0.002089725474662115
23,"{'criterion': 'gini', 'n_estimators': 800}",0.9611370197646014,"{'criterion': 'gini', 'n_estimators': 1000}",0.9599453800637233,"{'criterion': 'gini', 'n_estimators': 600}",0.9656084656084657,"{'criterion': 'entropy', 'n_estimators': 100}",0.9627221499783268,"{'criterion': 'gini', 'n_estimators': 100}",0.9617255233664622,0.9622277077563159,0.001914408834018348
22,"{'criterion': 'gini', 'n_estimators': 200}",0.9617777777777778,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9599636032757051,"{'criterion': 'gini', 'n_estimators': 100}",0.9655781112091791,"{'criterion': 'gini', 'n_estimators': 1000}",0.9630595393307259,"{'criterion': 'gini', 'n_estimators': 400}",0.9613189600507293,0.9623395983288233,0.0018978397214296685
21,"{'criterion': 'gini', 'n_estimators': 100}",0.9617607825700311,"{'criterion': 'gini', 'n_estimators': 200}",0.9604005461993627,"{'criterion': 'gini', 'n_estimators': 100}",0.9658063092874477,"{'criterion': 'gini', 'n_estimators': 1000}",0.9626411815812337,"{'criterion': 'gini', 'n_estimators': 100}",0.9611322348964934,0.9623482109069137,0.0018794330925783866
20,"{'criterion': 'entropy', 'n_estimators': 600}",0.9615640968673628,"{'criterion': 'entropy', 'n_estimators': 200}",0.9599453800637233,"{'criterion': 'gini', 'n_estimators': 800}",0.9660344067048964,"{'criterion': 'gini', 'n_estimators': 800}",0.9638973466724663,"{'criterion': 'gini', 'n_estimators': 100}",0.9610993657505286,0.9625081192117955,0.0021821114941250382
19,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9624360969104245,"{'criterion': 'gini', 'n_estimators': 800}",0.960163897109037,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9662624035281148,"{'criterion': 'gini', 'n_estimators': 600}",0.9634623749456285,"{'criterion': 'gini', 'n_estimators': 200}",0.9597628123676408,0.9624175169721692,0.002366494667296163
18,"{'criterion': 'entropy', 'n_estimators': 200}",0.9621717846016911,"{'criterion': 'entropy', 'n_estimators': 600}",0.9603644646924829,"{'criterion': 'gini', 'n_estimators': 800}",0.9655781112091791,"{'criterion': 'entropy', 'n_estimators': 400}",0.9641382308193871,"{'criterion': 'entropy', 'n_estimators': 400}",0.9608796785789808,0.9626264539803442,0.0019683644831530673
17,"{'criterion': 'entropy', 'n_estimators': 100}",0.962121212121212,"{'criterion': 'gini', 'n_estimators': 600}",0.9603644646924829,"{'criterion': 'gini', 'n_estimators': 1000}",0.9664310954063604,"{'criterion': 'gini', 'n_estimators': 600}",0.9649466579577618,"{'criterion': 'gini', 'n_estimators': 400}",0.9610334603981364,0.9629793781151907,0.0023300368701018826
