,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,3.015869140625,0.0,0.2543196678161621,0.0,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.9642935377875137,0.9642935377875137,0.0,6
1,5.970418453216553,0.0,1.6535959243774414,0.0,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9471184977336499,0.9471184977336499,0.0,18
2,3.0930488109588623,0.0,0.25997447967529297,0.0,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9642935377875137,0.9642935377875137,0.0,6
3,4.518577337265015,0.0,0.8563206195831299,0.0,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9617889709075119,0.9617889709075119,0.0,17
4,3.0395102500915527,0.0,0.2512948513031006,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9642935377875137,0.9642935377875137,0.0,6
5,3.772372245788574,0.0,0.7462050914764404,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9641451683428071,0.9641451683428071,0.0,12
6,2.868771553039551,0.0,0.14709758758544922,0.0,10,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.9641836958910129,0.9641836958910129,0.0,9
7,4.573646068572998,0.0,0.8423192501068115,0.0,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9619978284473398,0.9619978284473398,0.0,16
8,2.9587297439575195,0.0,0.16959023475646973,0.0,10,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.9641836958910129,0.9641836958910129,0.0,9
9,3.580838918685913,0.0,0.8237307071685791,0.0,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9640666082383874,0.9640666082383874,0.0,14
10,2.8158838748931885,0.0,0.19189739227294922,0.0,10,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9641836958910129,0.9641836958910129,0.0,9
11,3.4355733394622803,0.0,0.7083096504211426,0.0,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9641137855579869,0.9641137855579869,0.0,13
12,3.966639995574951,0.0,0.17624402046203613,0.0,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.9650626235992089,0.9650626235992089,0.0,1
13,3.654049873352051,0.0,0.7740449905395508,0.0,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.9646852379907874,0.9646852379907874,0.0,5
14,3.9341118335723877,0.0,0.1427004337310791,0.0,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.9650626235992089,0.9650626235992089,0.0,1
15,1.653243064880371,0.0,0.4505276679992676,0.0,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.963855421686747,0.963855421686747,0.0,15
16,1.7923548221588135,0.0,0.1109457015991211,0.0,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.9650626235992089,0.9650626235992089,0.0,1
17,2.0905051231384277,0.0,0.40534067153930664,0.0,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9647933522851521,0.9647933522851521,0.0,4
