n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.022166728973388672,0.0,49.61550188064575,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",,,,-2147483648
26,0.023166418075561523,0.0,67.6204400062561,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.7961148057402871,0.7961148057402871,0.0,-2147483648
26,0.0211639404296875,0.0,49.35088753700256,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",,,,-2147483648
26,0.022034883499145508,0.0,70.40189790725708,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.787513691128149,0.787513691128149,0.0,-2147483648
26,0.022034883499145508,0.0,75.20512557029724,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.7884988534133004,0.7884988534133004,0.0,-2147483648
26,0.024169206619262695,0.0,70.37438678741455,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.7982433025911286,0.7982433025911286,0.0,-2147483648
26,0.02517414093017578,0.0,73.64818096160889,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7756439428415399,0.7756439428415399,0.0,-2147483648
26,0.025168657302856445,0.0,65.57748246192932,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.7847460690403036,0.7847460690403036,0.0,-2147483648
26,0.02417302131652832,0.0,75.07329726219177,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.7826859834681361,0.7826859834681361,0.0,-2147483648
26,0.024169206619262695,0.0,64.05703687667847,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.788979447200567,0.788979447200567,0.0,-2147483648
26,0.023168087005615234,0.0,49.41238713264465,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",,,,-2147483648
26,0.024169206619262695,0.0,63.90325450897217,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.7820674724878224,0.7820674724878224,0.0,-2147483648
25,0.14310526847839355,0.0,125.21422624588013,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.793845077810806,0.793845077810806,0.0,4
25,0.138214111328125,0.0,113.92941331863403,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.7976888733257463,0.7976888733257463,0.0,2
25,0.14775657653808594,0.0,110.21757626533508,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7826801863524253,0.7826801863524253,0.0,11
25,0.15400266647338867,0.0,111.49248385429382,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.7887246852764095,0.7887246852764095,0.0,7
25,0.1450057029724121,0.0,127.57139778137207,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.7941641764809282,0.7941641764809282,0.0,3
25,0.14400315284729004,0.0,111.66348385810852,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.7994375109861134,0.7994375109861134,0.0,1
25,0.043384552001953125,0.0,130.90246391296387,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7844061650045331,0.7844061650045331,0.0,10
25,0.0780019760131836,0.0,126.10522413253784,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.7860301416839636,0.7860301416839636,0.0,9
25,0.07700228691101074,0.0,127.89654874801636,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.7900557374148455,0.7900557374148455,0.0,6
25,0.0859982967376709,0.0,112.87865972518921,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.7905824039653035,0.7905824039653035,0.0,5
25,0.0559999942779541,0.0,130.20875358581543,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.7799693776456814,0.7799693776456814,0.0,12
25,0.08999943733215332,0.0,107.60690021514893,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.7862877762742444,0.7862877762742444,0.0,8
24,0.18700122833251953,0.0,160.274423122406,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.793845077810806,0.793845077810806,0.0,-2147483648
24,0.16899394989013672,0.0,141.06337976455688,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.7976888733257463,0.7976888733257463,0.0,-2147483648
24,0.14623522758483887,0.0,159.29718494415283,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7826801863524253,0.7826801863524253,0.0,-2147483648
24,0.7235312461853027,0.0,156.1352424621582,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.7887246852764095,0.7887246852764095,0.0,-2147483648
24,0.09939932823181152,0.0,159.44742560386658,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.7941641764809282,0.7941641764809282,0.0,-2147483648
24,0.08900070190429688,0.0,134.4094340801239,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.7994375109861134,0.7994375109861134,0.0,-2147483648
24,0.06599950790405273,0.0,132.222083568573,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7844061650045331,0.7844061650045331,0.0,-2147483648
24,0.0724024772644043,0.0,154.59452486038208,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.7860301416839636,0.7860301416839636,0.0,-2147483648
24,0.0953981876373291,0.0,160.60704851150513,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.7900557374148455,0.7900557374148455,0.0,-2147483648
24,0.08339738845825195,0.0,155.23584294319153,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.7905824039653035,0.7905824039653035,0.0,-2147483648
24,0.07339835166931152,0.0,122.97308373451233,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",,,,-2147483648
24,0.07639813423156738,0.0,149.12812399864197,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.7862877762742444,0.7862877762742444,0.0,-2147483648
23,0.2743802070617676,0.0,115.44085383415222,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.7938423860753957,0.7938423860753957,0.0,4
23,0.2727477550506592,0.0,101.32130646705627,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.7985995623632384,0.7985995623632384,0.0,2
23,0.3146486282348633,0.0,113.21093559265137,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7838306414818872,0.7838306414818872,0.0,11
23,0.34198427200317383,0.0,101.0169951915741,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.7925318761384335,0.7925318761384335,0.0,6
23,0.21700119972229004,0.0,113.28958201408386,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.7965611018510396,0.7965611018510396,0.0,3
23,0.20600605010986328,0.0,98.97070980072021,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8009845288326302,0.8009845288326302,0.0,1
23,0.19800162315368652,0.0,113.89258313179016,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7861606738520062,0.7861606738520062,0.0,9
23,0.2387831211090088,0.0,99.62925744056702,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.7870688098248149,0.7870688098248149,0.0,8
23,0.22956013679504395,0.0,106.28961753845215,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.791902404526167,0.791902404526167,0.0,7
23,0.21351051330566406,0.0,101.43423676490784,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.7936226749335695,0.7936226749335695,0.0,5
23,0.22435355186462402,0.0,115.3165853023529,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.7824362095392662,0.7824362095392662,0.0,12
23,0.19600152969360352,0.0,105.12761545181274,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.7855917667238422,0.7855917667238422,0.0,10
22,0.18056273460388184,0.0,178.0630807876587,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.7947216638993271,0.7947216638993271,0.0,4
22,0.16556262969970703,0.0,168.37647104263306,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.7991243432574431,0.7991243432574431,0.0,2
22,0.1775667667388916,0.0,178.73863220214844,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.7844174801569201,0.7844174801569201,0.0,11
22,0.15900325775146484,0.0,168.75599908828735,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.7935178441369264,0.7935178441369264,0.0,6
22,0.10700273513793945,0.0,169.99963808059692,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.7958950969213227,0.7958950969213227,0.0,3
22,0.11299943923950195,0.0,170.66929054260254,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8019323671497585,0.8019323671497585,0.0,1
22,0.08331799507141113,0.0,186.62756443023682,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7867427329530018,0.7867427329530018,0.0,9
22,0.1510021686553955,0.0,165.95685601234436,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.7890751757706869,0.7890751757706869,0.0,8
22,0.16255426406860352,0.0,184.51495909690857,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.7916850950906679,0.7916850950906679,0.0,7
22,0.1139535903930664,0.0,170.5911991596222,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.7941280509373894,0.7941280509373894,0.0,5
22,0.08800005912780762,0.0,184.4039556980133,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.783086909484313,0.783086909484313,0.0,12
22,0.13099932670593262,0.0,169.98734164237976,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.7865188789762998,0.7865188789762998,0.0,10
21,0.17299914360046387,0.0,186.67439150810242,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.7962607024287961,0.7962607024287961,0.0,4
21,0.1900026798248291,0.0,167.69981598854065,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.798598949211909,0.798598949211909,0.0,2
21,0.20600080490112305,0.0,182.7205777168274,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.785427319211103,0.785427319211103,0.0,11
21,0.1670088768005371,0.0,175.920836687088,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.79395429299827,0.79395429299827,0.0,5
21,0.09872913360595703,0.0,191.7112991809845,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.796810654516779,0.796810654516779,0.0,3
21,0.12500214576721191,0.0,180.34010767936707,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.8018984004218668,0.8018984004218668,0.0,1
21,0.0817270278930664,0.0,192.50597262382507,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.7859795308395978,0.7859795308395978,0.0,10
