n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'n_neighbors': 15, 'p': 2}",0.7976478727084054,"{'n_neighbors': 5, 'p': 1}",,"{'n_neighbors': 5, 'p': 2}",0.798024342917622,"{'n_neighbors': 5, 'p': 1}",,"{'n_neighbors': 5, 'p': 2}",0.7972003499562554,0.7976241885274277,0.0003368103377440223
25,"{'n_neighbors': 15, 'p': 2}",0.799377378069872,"{'n_neighbors': 15, 'p': 2}",0.7994375109861134,"{'n_neighbors': 5, 'p': 2}",0.8011989773428546,"{'n_neighbors': 5, 'p': 2}",0.7914250571077139,"{'n_neighbors': 5, 'p': 2}",0.79656712496716,0.7976012096947427,0.003425927628581246
24,"{'n_neighbors': 15, 'p': 2}",0.799377378069872,"{'n_neighbors': 5, 'p': 1}",0.793845077810806,"{'n_neighbors': 5, 'p': 2}",0.8012696173514371,"{'n_neighbors': 5, 'p': 2}",0.7914250571077139,"{'n_neighbors': 5, 'p': 2}",0.79656712496716,0.7964968510613979,0.0035731405684325886
23,"{'n_neighbors': 15, 'p': 2}",0.8006572688748594,"{'n_neighbors': 15, 'p': 2}",0.8009845288326302,"{'n_neighbors': 5, 'p': 2}",0.8013408609738885,"{'n_neighbors': 5, 'p': 2}",0.7925223802001053,"{'n_neighbors': 5, 'p': 2}",0.7968818428659017,0.798477376349477,0.003383636961214406
22,"{'n_neighbors': 15, 'p': 2}",0.802835162935431,"{'n_neighbors': 15, 'p': 2}",0.8019323671497585,"{'n_neighbors': 5, 'p': 2}",0.8021881065819658,"{'n_neighbors': 5, 'p': 2}",0.7938153386629185,"{'n_neighbors': 5, 'p': 2}",0.7970925650232068,0.7995727080706562,0.0035312978951147194
21,"{'n_neighbors': 15, 'p': 2}",0.8031809145129225,"{'n_neighbors': 15, 'p': 2}",0.8018984004218668,"{'n_neighbors': 5, 'p': 1}",0.791805873043784,"{'n_neighbors': 5, 'p': 2}",0.7939239617174466,"{'n_neighbors': 5, 'p': 2}",0.798178793450661,0.7977975886293361,0.004401086528418033
20,"{'n_neighbors': 15, 'p': 2}",0.8031809145129225,"{'n_neighbors': 5, 'p': 1}",0.7969609641079382,"{'n_neighbors': 5, 'p': 2}",0.8013414526520166,"{'n_neighbors': 5, 'p': 2}",0.7935755660874145,"{'n_neighbors': 5, 'p': 2}",0.7987388334209142,0.7987595461562412,0.003356299004983463
19,"{'n_neighbors': 15, 'p': 2}",0.8045658941542719,"{'n_neighbors': 15, 'p': 2}",0.8037251801089439,"{'n_neighbors': 5, 'p': 2}",0.8016944665078104,"{'n_neighbors': 15, 'p': 2}",0.793690180786955,"{'n_neighbors': 5, 'p': 2}",0.799159148637996,0.8005669740391955,0.003911754714367079
18,"{'n_neighbors': 15, 'p': 2}",0.806666091011139,"{'n_neighbors': 15, 'p': 2}",0.8065054945054945,"{'n_neighbors': 5, 'p': 1}",0.8004575048389936,"{'n_neighbors': 5, 'p': 2}",0.7989487516425755,"{'n_neighbors': 5, 'p': 2}",0.8002450980392157,0.8025645880074836,0.0033240690944888363
17,"{'n_neighbors': 15, 'p': 2}",0.8076723691031623,"{'n_neighbors': 15, 'p': 1}",0.8087796312554872,"{'n_neighbors': 5, 'p': 2}",0.8060675544580651,"{'n_neighbors': 5, 'p': 1}",0.8010851492080161,"{'n_neighbors': 5, 'p': 2}",0.8011557656947728,0.8049520939439008,0.003245290764719096
