n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,5.881993293762207,0.0,0.005002498626708984,0.0,10,0.001,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8285111767186841,0.8285111767186841,0.0,19
26,3.449720621109009,0.0,0.006997585296630859,0.0,10,0.001,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8826071922544951,0.8826071922544951,0.0,15
26,2.781719923019409,0.0,0.007001638412475586,0.0,10,0.01,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8846280991735538,0.8846280991735538,0.0,12
26,3.5797197818756104,0.0,0.0069997310638427734,0.0,10,0.01,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.892501489488467,0.892501489488467,0.0,1
26,4.781996726989746,0.0,0.004999637603759766,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8907420013614704,0.8907420013614704,0.0,5
26,1.2574901580810547,0.0,0.0070035457611083984,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.0,0.0,0.0,22
26,7.681992292404175,0.0,0.0049974918365478516,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.8582885419332822,0.8582885419332822,0.0,17
26,2.8907103538513184,0.0,0.00800323486328125,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.884177003017097,0.884177003017097,0.0,14
26,3.2267181873321533,0.0,0.007995367050170898,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8843111404087014,0.8843111404087014,0.0,13
26,2.114706039428711,0.0,0.007999658584594727,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8878544953021292,0.8878544953021292,0.0,10
26,3.216714382171631,0.0,0.007999181747436523,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.8888151894536108,0.8888151894536108,0.0,9
26,4.085991859436035,0.0,0.006999969482421875,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8921346428271636,0.8921346428271636,0.0,2
26,9.088988542556763,0.0,0.004999876022338867,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.885587431693989,0.885587431693989,0.0,11
26,6.891989231109619,0.0,0.00500035285949707,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8895958727429064,0.8895958727429064,0.0,8
26,2.022719144821167,0.0,0.008000373840332031,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.8126112382405289,0.8126112382405289,0.0,20
26,2.587510347366333,0.0,0.008000373840332031,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.8904826189672629,0.8904826189672629,0.0,6
26,1.6059927940368652,0.0,0.007001638412475586,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.0,0.0,0.0,22
26,1.57900071144104,0.0,0.004998922348022461,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.0,0.0,0.0,22
26,6.143266916275024,0.0,0.005000591278076172,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.87981897418706,0.87981897418706,0.0,16
26,5.94727087020874,0.0,0.006001472473144531,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8907591034080493,0.8907591034080493,0.0,4
