,feature,importance
0,mer8,0.49844425176546014
1,mer7,0.18409802864428787
2,mer6,0.10043896053006858
3,cpg,0.027289380934941893
4,gcs,0.02103380696944033
5,cm2,0.020088652498687153
6,gc,0.020065028243879734
7,cwf,0.017495923304255742
8,ce,0.01744821875029359
9,cm1,0.01714658607465577
10,ct4,0.009302869240992894
11,ct5,0.008970467593379257
12,ct6,0.00880367478795485
13,ct3,0.008273545112498483
14,cm3,0.007314159576532042
15,cl6,0.0056743466821389575
16,cl5,0.005507635381205763
17,cl4,0.005336240256065579
18,cl3,0.005184557482311296
19,ct2,0.004122502718610733
20,cl2,0.0038272818565542274
21,cm4,0.002662015988815322
22,cm5,0.0008231404965407736
23,cl1,0.00022901498880183011
24,ct1,0.00022333568763401317
25,cm6,0.00019637443399309713
