,feature,importance
0,mer8,0.497584900813642
1,mer7,0.18242298327465695
2,mer6,0.10074106008888625
3,cpg,0.02797484394552464
4,gc,0.021277982331918327
5,cm2,0.02055067443503993
6,gcs,0.02020708761400861
7,cm1,0.0178571045573117
8,ce,0.017388916131362907
9,cwf,0.016548352836379017
10,ct6,0.009211158012491923
11,ct4,0.009037404849171123
12,ct5,0.008872558696585165
13,ct3,0.008795934734062998
14,cm3,0.00715373680172353
15,cl6,0.005701666856241796
16,cl5,0.005531020418487291
17,cl4,0.005374843007946943
18,cl3,0.005181718798800195
19,ct2,0.004363629182404018
20,cl2,0.0039747738159188915
21,cm4,0.0026285437819409106
22,cm5,0.0007334378817812102
23,cl1,0.0003874138168684191
24,ct1,0.00029045519206402827
25,cm6,0.00020779812478121575
