n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.011998414993286133,0.0,0.0030002593994140625,0.0,{},0.6229122055674519,0.6229122055674519,0.0,1
25,0.011998891830444336,0.0,0.003999948501586914,0.0,{},0.6221222828996681,0.6221222828996681,0.0,1
24,0.012000083923339844,0.0,0.0030059814453125,0.0,{},0.62206999892968,0.62206999892968,0.0,1
23,0.012011289596557617,0.0,0.003000020980834961,0.0,{},0.6220556745182012,0.6220556745182012,0.0,1
22,0.010000228881835938,0.0,0.003999948501586914,0.0,{},0.6218937446443874,0.6218937446443874,0.0,1
21,0.010037899017333984,0.0,0.002999544143676758,0.0,{},0.6218127276623098,0.6218127276623098,0.0,1
20,0.010747194290161133,0.0,0.003000020980834961,0.0,{},0.6215984572530534,0.6215984572530534,0.0,1
19,0.009996891021728516,0.0,0.003000974655151367,0.0,{},0.6221889055472264,0.6221889055472264,0.0,1
18,0.009987831115722656,0.0,0.003000020980834961,0.0,{},0.6209409495230951,0.6209409495230951,0.0,1
17,0.008999824523925781,0.0,0.003999948501586914,0.0,{},0.6202382229852988,0.6202382229852988,0.0,1
16,0.009329557418823242,0.0,0.003000020980834961,0.0,{},0.6200901481004506,0.6200901481004506,0.0,1
15,0.009000539779663086,0.0,0.0029993057250976562,0.0,{},0.6207636207636208,0.6207636207636208,0.0,1
14,0.008997678756713867,0.0,0.0030028820037841797,0.0,{},0.62045283828737,0.62045283828737,0.0,1
13,0.008002758026123047,0.0,0.0029990673065185547,0.0,{},0.6197939029626449,0.6197939029626449,0.0,1
12,0.00847768783569336,0.0,0.0029997825622558594,0.0,{},0.6113289760348584,0.6113289760348584,0.0,1
11,0.00941014289855957,0.0,0.0029997825622558594,0.0,{},0.611690569317688,0.611690569317688,0.0,1
10,0.00799703598022461,0.0,0.0030002593994140625,0.0,{},0.6110019646365422,0.6110019646365422,0.0,1
9,0.007999897003173828,0.0,0.0029997825622558594,0.0,{},0.6055328998126309,0.6055328998126309,0.0,1
8,0.007012605667114258,0.0,0.0029993057250976562,0.0,{},0.6012544802867383,0.6012544802867383,0.0,1
7,0.006997823715209961,0.0,0.0029997825622558594,0.0,{},0.5971727387656591,0.5971727387656591,0.0,1
6,0.007012605667114258,0.0,0.0029993057250976562,0.0,{},0.5515970515970516,0.5515970515970516,0.0,1
5,0.007023811340332031,0.0,0.0019998550415039062,0.0,{},0.5539630037976234,0.5539630037976234,0.0,1
4,0.0060002803802490234,0.0,0.003000974655151367,0.0,{},0.22260705289672542,0.22260705289672542,0.0,1
3,0.005999565124511719,0.0,0.003000020980834961,0.0,{},0.05435347065951185,0.05435347065951185,0.0,1
2,0.0060040950775146484,0.0,0.0019953250885009766,0.0,{},0.004617297105309892,0.004617297105309892,0.0,1
1,0.003999471664428711,0.0,0.003000020980834961,0.0,{},0.0,0.0,0.0,1
