n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,{},0.6078746915566999,{},0.6229122055674519,{},0.6255108625510862,{},0.6114663487590767,{},0.6073467628999247,0.6150221742668479,0.007679941661672993
25,{},0.6085836909871244,{},0.6221222828996681,{},0.6257127487896718,{},0.6117494038586604,{},0.6079551579174302,0.615224656890511,0.007302092074637181
24,{},0.6089008042895442,{},0.62206999892968,{},0.6262495969042244,{},0.6112013866320009,{},0.607843137254902,0.6152529848020702,0.0074708586522430585
23,{},0.609376676322283,{},0.6220556745182012,{},0.6269491343155178,{},0.611213534323826,{},0.6070080862533693,0.6153206211466394,0.007770201297695164
22,{},0.609703735508802,{},0.6218937446443874,{},0.6269363166953528,{},0.6106770833333334,{},0.6072891956006038,0.6153000151564959,0.007690823838270621
21,{},0.6093213058419245,{},0.6218127276623098,{},0.6261712439418418,{},0.6102909248805906,{},0.6071004640120858,0.6149393332677505,0.007589692639263875
20,{},0.6091065292096219,{},0.6215984572530534,{},0.6260907034363892,{},0.6102909248805906,{},0.6070811744386874,0.6148335578436684,0.007563345960420759
19,{},0.6087236785560808,{},0.6221889055472264,{},0.6260232658336924,{},0.6102246825138391,{},0.6079637423114276,0.6150248549524533,0.007548436314693445
18,{},0.6093968390495647,{},0.6209409495230951,{},0.6267082750457333,{},0.6092341118957089,{},0.6088927260954026,0.6150345803219008,0.007406919462268485
17,{},0.6078156959844978,{},0.6202382229852988,{},0.6255924170616114,{},0.6087240291526161,{},0.6083198271204754,0.6141380384609,0.007369533699510432
16,{},0.6076467420570812,{},0.6200901481004506,{},0.6255791401788598,{},0.6087713570573512,{},0.6088836053171944,0.6141941985421875,0.007278157924356717
15,{},0.6069812540400775,{},0.6207636207636208,{},0.6256056853666416,{},0.6085726718885988,{},0.6092500540306894,0.6142346572179257,0.00750258422950443
14,{},0.6064196467040068,{},0.62045283828737,{},0.6255383290267013,{},0.6079199303742384,{},0.6087520259319287,0.613816554064849,0.007701611924799634
13,{},0.6055579491598448,{},0.6197939029626449,{},0.6248788368336026,{},0.6072865687873844,{},0.6086205034028304,0.6132275522292614,0.007670885076356494
12,{},0.5963875205254515,{},0.6113289760348584,{},0.613728720483251,{},0.6016331935555065,{},0.5988601490574309,0.6043877119312996,0.006893184655300358
11,{},0.5975103734439834,{},0.611690569317688,{},0.6143217458054612,{},0.6020913593835993,{},0.5984665936473166,0.6048161283196096,0.006909843897446916
10,{},0.5955672591617293,{},0.6110019646365422,{},0.6122179416620803,{},0.6000442673749447,{},0.5965684117905852,0.6030799689251763,0.007131861327875313
9,{},0.5937396305718394,{},0.6055328998126309,{},0.6092259924595254,{},0.5970315812967303,{},0.5931019185982034,0.5997264045477859,0.006495304563194095
8,{},0.5860245302126702,{},0.6012544802867383,{},0.6041643218908272,{},0.5926261026916987,{},0.5912162162162162,0.5950571302596301,0.0066872784613641175
7,{},0.5707012265679241,{},0.5971727387656591,{},0.587552252670692,{},0.5765430663721958,{},0.5764364480557167,0.5816811464864375,0.009475491432943933
6,{},0.5093940525071544,{},0.5515970515970516,{},0.5440613026819924,{},0.5265640516385303,{},0.5241995532390171,0.5311632023327493,0.015016282284995467
5,{},0.5130240635078144,{},0.5539630037976234,{},0.5432769477713297,{},0.5276469129680139,{},0.5272277227722773,0.5330277301634118,0.014185006893262594
4,{},0.17775680352367468,{},0.22260705289672542,{},0.22099447513812157,{},0.2038819630740098,{},0.1910023677979479,0.2032485324860959,0.017261916593879347
3,{},0.04634641407307172,{},0.05435347065951185,{},0.05488016672455714,{},0.05870236869207003,{},0.0526135975401435,0.053379203537870845,0.004039417145354618
2,{},0.0034578146611341635,{},0.004617297105309892,{},0.006055209260908282,{},0.006700758243695997,{},0.005602240896358543,0.005286664033481376,0.0011386531578677593
1,{},0.0,{},0.0,{},0.0,{},0.0,{},0.0,0.0,0.0
