n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.01199793815612793,0.0,0.003000497817993164,0.0,{},0.8491451855788821,0.8491451855788821,0.0,1
25,0.012998819351196289,0.0,0.003000020980834961,0.0,{},0.8487640648533711,0.8487640648533711,0.0,1
24,0.01100015640258789,0.0,0.003999948501586914,0.0,{},0.8484096748471693,0.8484096748471693,0.0,1
23,0.011209249496459961,0.0,0.0029993057250976562,0.0,{},0.8480283562250776,0.8480283562250776,0.0,1
22,0.010999917984008789,0.0,0.0031249523162841797,0.0,{},0.8471631205673759,0.8471631205673759,0.0,1
21,0.010000228881835938,0.0,0.004003763198852539,0.0,{},0.8469107348639305,0.8469107348639305,0.0,1
20,0.011077880859375,0.0,0.0029997825622558594,0.0,{},0.8461334041987776,0.8461334041987776,0.0,1
19,0.010000228881835938,0.0,0.003000020980834961,0.0,{},0.8466442358774571,0.8466442358774571,0.0,1
18,0.009987592697143555,0.0,0.003000020980834961,0.0,{},0.8461402266288952,0.8461402266288952,0.0,1
17,0.009339332580566406,0.0,0.002999544143676758,0.0,{},0.8458134183041246,0.8458134183041246,0.0,1
16,0.009998559951782227,0.0,0.0029993057250976562,0.0,{},0.8455342126228201,0.8455342126228201,0.0,1
15,0.008479833602905273,0.0,0.0030012130737304688,0.0,{},0.8454867256637167,0.8454867256637167,0.0,1
14,0.008997917175292969,0.0,0.0030002593994140625,0.0,{},0.845337108476376,0.845337108476376,0.0,1
13,0.008001565933227539,0.0,0.0029985904693603516,0.0,{},0.845207540490309,0.845207540490309,0.0,1
12,0.007998228073120117,0.0,0.0039997100830078125,0.0,{},0.8449557522123894,0.8449557522123894,0.0,1
11,0.00801229476928711,0.0,0.003000020980834961,0.0,{},0.8440155807365438,0.8440155807365438,0.0,1
10,0.008476495742797852,0.0,0.0029997825622558594,0.0,{},0.8436698221711051,0.8436698221711051,0.0,1
9,0.006997585296630859,0.0,0.0029997825622558594,0.0,{},0.8435951875442321,0.8435951875442321,0.0,1
8,0.006998538970947266,0.0,0.0029997825622558594,0.0,{},0.8436505129112133,0.8436505129112133,0.0,1
7,0.005999326705932617,0.0,0.0030002593994140625,0.0,{},0.8428407181392058,0.8428407181392058,0.0,1
6,0.006999492645263672,0.0,0.0029993057250976562,0.0,{},0.8421331918280711,0.8421331918280711,0.0,1
5,0.005999326705932617,0.0,0.002998828887939453,0.0,{},0.8412586176418596,0.8412586176418596,0.0,1
4,0.0051136016845703125,0.0,0.0029964447021484375,0.0,{},0.8402440102555035,0.8402440102555035,0.0,1
3,0.005999565124511719,0.0,0.0029997825622558594,0.0,{},0.8401414677276746,0.8401414677276746,0.0,1
2,0.005003213882446289,0.0,0.0029959678649902344,0.0,{},0.8507462686567163,0.8507462686567163,0.0,1
1,0.004999399185180664,0.0,0.003033161163330078,0.0,{},0.0,0.0,0.0,1
