n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,{},0.8549511854951186,{},0.8516635447328517,{},0.8506819813352476,{},0.8527007818052594,{},0.8491451855788821,0.8518285357894719,0.0019521235521437336
25,{},0.8551748190775132,{},0.8506157415670177,{},0.8491108316867253,{},0.8527296937416776,{},0.8487640648533711,0.851279030185261,0.002397819133615506
24,{},0.855124291321413,{},0.8497455584322828,{},0.849034575662326,{},0.8524270121572455,{},0.8484096748471693,0.8509482224840873,0.0024971599434703293
23,{},0.8548499651081646,{},0.8496428571428573,{},0.8482727680574249,{},0.8517663767086808,{},0.8480283562250776,0.8505120646484409,0.0025428117344986068
22,{},0.8547008547008546,{},0.8491560239349826,{},0.8484522207267834,{},0.8514341532723559,{},0.8471631205673759,0.8501812746404704,0.0026512762678730485
21,{},0.8537777002268364,{},0.8485714285714285,{},0.8486098654708519,{},0.8513585508790624,{},0.8469107348639305,0.849845656002422,0.0024295850906479507
20,{},0.8535287446567216,{},0.848955543652919,{},0.8483544076764417,{},0.8519176136363636,{},0.8461334041987776,0.8497779427642447,0.002631811546341991
19,{},0.8535287446567216,{},0.8484144707458686,{},0.8485065925195086,{},0.8514113261139712,{},0.8466442358774571,0.8497010739827054,0.00244958846330891
18,{},0.8534565425856507,{},0.8479542612113632,{},0.8488434642280795,{},0.8510562755192616,{},0.8461402266288952,0.84949015403465,0.0025370913557238996
17,{},0.8532821898701073,{},0.8473152863396766,{},0.8484087852980726,{},0.8511582497559244,{},0.8458134183041246,0.849195585913581,0.0026887179357524245
16,{},0.8532078103207812,{},0.8467792370231395,{},0.8483110832362691,{},0.8509316770186336,{},0.8455342126228201,0.8489528040443288,0.0027872561116407727
15,{},0.8523331879633669,{},0.8465523401214721,{},0.8480071652485446,{},0.8506787330316742,{},0.8454867256637167,0.8486116304057548,0.0025492739424681984
14,{},0.85231037489102,{},0.8461675897802395,{},0.8476275738585497,{},0.8506073233442681,{},0.845337108476376,0.8484099940700907,0.0026504494240056926
13,{},0.8525104602510459,{},0.8461950696677385,{},0.847757988006802,{},0.8506338090594805,{},0.845207540490309,0.8484609734950752,0.002732504069336062
12,{},0.8521102197418905,{},0.8462431877066023,{},0.8474545942560616,{},0.8503057697420898,{},0.8449557522123894,0.8482139047318068,0.002631843677380669
11,{},0.8518873681457589,{},0.8454732326391993,{},0.8475364392381294,{},0.8498759305210919,{},0.8440155807365438,0.8477577102561448,0.002857000649747657
10,{},0.8514350519061328,{},0.8452944856555547,{},0.8463602217850116,{},0.8495214462956399,{},0.8436698221711051,0.8472562055626888,0.0028322199807101992
9,{},0.8513124618470392,{},0.8447859887409527,{},0.8458992934442358,{},0.8477971811009662,{},0.8435951875442321,0.8466780225354851,0.002698911858052156
8,{},0.850161445152282,{},0.8452263999285523,{},0.8450326388267907,{},0.8482000354672815,{},0.8436505129112133,0.8464542064572239,0.00237405132944426
7,{},0.8495853339153208,{},0.8449446230796713,{},0.8444682944280476,{},0.8472111377139311,{},0.8428407181392058,0.8458100214552353,0.00234870257325855
6,{},0.8498385830206788,{},0.8436298614215466,{},0.8448738593666129,{},0.8469795085602768,{},0.8421331918280711,0.8454910008394372,0.0026920888152052514
5,{},0.8483685220729367,{},0.8425379803395889,{},0.8436968775163283,{},0.845839985808054,{},0.8412586176418596,0.8443403966757534,0.00251534273419405
4,{},0.8481255448997385,{},0.8417195459826615,{},0.8426986399427343,{},0.8448704295349662,{},0.8402440102555035,0.8435316341231207,0.002745265116763028
3,{},0.8479986046917241,{},0.8417947801215587,{},0.8426986399427343,{},0.8449454158161002,{},0.8401414677276746,0.8435157816599584,0.002725990372299294
2,{},0.8562732499154548,{},0.8514885561865428,{},0.8520545565111631,{},0.8515739542906425,{},0.8507462686567163,0.852427317112104,0.001968023052877087
1,{},0.0,{},0.0,{},0.0,{},0.0,{},0.0,0.0,0.0
