n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'gini', 'n_estimators': 500}",0.8973117381866755,"{'criterion': 'gini', 'n_estimators': 1000}",0.8900051081219139,"{'criterion': 'gini', 'n_estimators': 500}",0.8910025706940874,"{'criterion': 'gini', 'n_estimators': 1000}",0.8894759267149552,"{'criterion': 'gini', 'n_estimators': 500}",0.8884755221104252,0.8912541731656116,0.003136897301386901
25,"{'criterion': 'entropy', 'n_estimators': 500}",0.89780292942743,"{'criterion': 'gini', 'n_estimators': 1000}",0.8900827151019016,"{'criterion': 'entropy', 'n_estimators': 1000}",0.891343436938094,"{'criterion': 'entropy', 'n_estimators': 500}",0.8911396714614009,"{'criterion': 'gini', 'n_estimators': 100}",0.8897357723577235,0.8920209050573099,0.002954513607270744
24,"{'criterion': 'gini', 'n_estimators': 500}",0.895902731512325,"{'criterion': 'gini', 'n_estimators': 500}",0.8903829787234042,"{'criterion': 'entropy', 'n_estimators': 500}",0.8901615522694247,"{'criterion': 'gini', 'n_estimators': 1000}",0.8895700297999148,"{'criterion': 'entropy', 'n_estimators': 500}",0.8880080958003036,0.8908050776210745,0.0026805528526364173
23,"{'criterion': 'entropy', 'n_estimators': 500}",0.8969363969363969,"{'criterion': 'gini', 'n_estimators': 500}",0.8906289897012512,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8914735311724964,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8897584212317113,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8886261926876635,0.8914847063459039,0.0028845958741125703
22,"{'criterion': 'gini', 'n_estimators': 500}",0.8969889064976228,"{'criterion': 'gini', 'n_estimators': 500}",0.8907248104931438,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8921207973308238,"{'criterion': 'gini', 'n_estimators': 100}",0.8900273224043715,"{'criterion': 'entropy', 'n_estimators': 100}",0.8887197699983088,0.8917163213448541,0.0028558321441889915
21,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8979931717878258,"{'criterion': 'gini', 'n_estimators': 500}",0.8901960784313725,"{'criterion': 'gini', 'n_estimators': 1000}",0.8918178705922629,"{'criterion': 'entropy', 'n_estimators': 500}",0.8910605030591434,"{'criterion': 'gini', 'n_estimators': 1000}",0.8883445945945947,0.8918824436930398,0.0032674441993254533
20,"{'criterion': 'gini', 'n_estimators': 500}",0.8974081173431119,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8901379662749106,"{'criterion': 'entropy', 'n_estimators': 500}",0.8926002055498459,"{'criterion': 'entropy', 'n_estimators': 500}",0.8903852710535288,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8891140950933198,0.8919291310629435,0.0029660018260978336
19,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8980101573557573,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8903280783979547,"{'criterion': 'entropy', 'n_estimators': 500}",0.8923129601095702,"{'criterion': 'entropy', 'n_estimators': 100}",0.8915456874466269,"{'criterion': 'entropy', 'n_estimators': 100}",0.8897152032451618,0.8923824173110141,0.002956712310076385
18,"{'criterion': 'gini', 'n_estimators': 500}",0.8975943869027732,"{'criterion': 'gini', 'n_estimators': 500}",0.8905196689137299,"{'criterion': 'entropy', 'n_estimators': 500}",0.8924473368727522,"{'criterion': 'entropy', 'n_estimators': 500}",0.8907992169546345,"{'criterion': 'gini', 'n_estimators': 500}",0.8893026404874745,0.892132650026273,0.0029092371280154895
17,"{'criterion': 'gini', 'n_estimators': 100}",0.8985943775100401,"{'criterion': 'gini', 'n_estimators': 1000}",0.8918318523581681,"{'criterion': 'entropy', 'n_estimators': 1000}",0.892713417244627,"{'criterion': 'gini', 'n_estimators': 100}",0.8896475206964239,"{'criterion': 'gini', 'n_estimators': 1000}",0.8898849797023004,0.8925344295023118,0.003243530416322189
