n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,0.6849987506866455,0.0,0.023000240325927734,0.0,gini,10,"{'criterion': 'gini', 'n_estimators': 10}",0.8747053173840914,0.8747053173840914,0.0,8
26,5.766998767852783,0.0,0.17000055313110352,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.888680371918451,0.888680371918451,0.0,6
26,26.812748432159424,0.0,0.8830020427703857,0.0,gini,500,"{'criterion': 'gini', 'n_estimators': 500}",0.8901005281990118,0.8901005281990118,0.0,1
26,51.787753105163574,0.0,1.5310025215148926,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8899480806877181,0.8899480806877181,0.0,2
26,0.7299964427947998,0.0,0.0260012149810791,0.0,entropy,10,"{'criterion': 'entropy', 'n_estimators': 10}",0.8747608279700818,0.8747608279700818,0.0,7
26,6.04599666595459,0.0,0.1810009479522705,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8892491467576792,0.8892491467576792,0.0,5
26,28.7612943649292,0.0,0.76399827003479,0.0,entropy,500,"{'criterion': 'entropy', 'n_estimators': 500}",0.8894185749553079,0.8894185749553079,0.0,4
26,55.99381494522095,0.0,1.4968712329864502,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8894562164922136,0.8894562164922136,0.0,3
25,0.6869990825653076,0.0,0.020998716354370117,0.0,gini,10,"{'criterion': 'gini', 'n_estimators': 10}",0.8767314225977874,0.8767314225977874,0.0,7
25,5.327051401138306,0.0,0.16299962997436523,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8887369680396514,0.8887369680396514,0.0,5
25,25.090607404708862,0.0,0.777998685836792,0.0,gini,500,"{'criterion': 'gini', 'n_estimators': 500}",0.8895710752963248,0.8895710752963248,0.0,3
25,48.99477815628052,0.0,1.520000696182251,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8901398839986353,0.8901398839986353,0.0,1
25,0.6579992771148682,0.0,0.021999359130859375,0.0,entropy,10,"{'criterion': 'entropy', 'n_estimators': 10}",0.8745532211664196,0.8745532211664196,0.0,8
25,5.753049612045288,0.0,0.15899991989135742,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8885470085470085,0.8885470085470085,0.0,6
25,27.19060468673706,0.0,0.773993968963623,0.0,entropy,500,"{'criterion': 'entropy', 'n_estimators': 500}",0.889892619737515,0.889892619737515,0.0,2
25,52.38577437400818,0.0,1.4854862689971924,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8889835562750278,0.8889835562750278,0.0,4
24,0.579998254776001,0.0,0.028011560440063477,0.0,gini,10,"{'criterion': 'gini', 'n_estimators': 10}",0.8773091669571279,0.8773091669571279,0.0,7
24,4.817998647689819,0.0,0.20500421524047852,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8899309404041265,0.8899309404041265,0.0,2
24,21.772507905960083,0.0,0.8329994678497314,0.0,gini,500,"{'criterion': 'gini', 'n_estimators': 500}",0.890061266167461,0.890061266167461,0.0,1
24,42.38954949378967,0.0,1.6180000305175781,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.889210347174949,0.889210347174949,0.0,4
24,0.6419997215270996,0.0,0.020000219345092773,0.0,entropy,10,"{'criterion': 'entropy', 'n_estimators': 10}",0.8728032016704369,0.8728032016704369,0.0,8
24,5.130001783370972,0.0,0.16799712181091309,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8881327094853254,0.8881327094853254,0.0,6
