n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'gini', 'n_estimators': 500}",0.8974787109701118,"{'criterion': 'gini', 'n_estimators': 500}",0.8901005281990118,"{'criterion': 'entropy', 'n_estimators': 500}",0.8910738714090287,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8895319148936172,"{'criterion': 'gini', 'n_estimators': 500}",0.8885317997293639,0.8913433650402267,0.003176349824606652
25,"{'criterion': 'entropy', 'n_estimators': 500}",0.8981358189081226,"{'criterion': 'gini', 'n_estimators': 1000}",0.8901398839986353,"{'criterion': 'gini', 'n_estimators': 1000}",0.8914589222993232,"{'criterion': 'entropy', 'n_estimators': 500}",0.8911396714614009,"{'criterion': 'gini', 'n_estimators': 100}",0.8894910661359979,0.892073072560696,0.003111568306259975
24,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8958454749812672,"{'criterion': 'gini', 'n_estimators': 500}",0.890061266167461,"{'criterion': 'entropy', 'n_estimators': 500}",0.8902751666381816,"{'criterion': 'gini', 'n_estimators': 1000}",0.8894942959305295,"{'criterion': 'entropy', 'n_estimators': 500}",0.888251665682719,0.8907855738800317,0.0026258646524368314
23,"{'criterion': 'entropy', 'n_estimators': 500}",0.8966608377050544,"{'criterion': 'gini', 'n_estimators': 500}",0.8907234042553192,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8916631038905516,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8898528536191206,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8886073811333502,0.8915015161206792,0.002769269696592002
22,"{'criterion': 'gini', 'n_estimators': 500}",0.8974145120934113,"{'criterion': 'gini', 'n_estimators': 500}",0.8905358207683789,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8921023359288098,"{'criterion': 'gini', 'n_estimators': 100}",0.8896669513236549,"{'criterion': 'entropy', 'n_estimators': 100}",0.8889640591966173,0.8917367358621744,0.0030260451857448373
21,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8978266300274793,"{'criterion': 'gini', 'n_estimators': 500}",0.8901014579248018,"{'criterion': 'gini', 'n_estimators': 1000}",0.8918363854184493,"{'criterion': 'entropy', 'n_estimators': 500}",0.8910790144435004,"{'criterion': 'gini', 'n_estimators': 1000}",0.8888137884420412,0.8919314552512544,0.003116328474155634
20,"{'criterion': 'gini', 'n_estimators': 500}",0.8973910144202718,"{'criterion': 'entropy', 'n_estimators': 1000}",0.890308295009368,"{'criterion': 'entropy', 'n_estimators': 500}",0.892486935663497,"{'criterion': 'entropy', 'n_estimators': 500}",0.8904039543207772,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8895456848505321,0.8920271768528891,0.0028540967170613348
19,"{'criterion': 'entropy', 'n_estimators': 100}",0.8982555713212587,"{'criterion': 'gini', 'n_estimators': 500}",0.8903501280956447,"{'criterion': 'entropy', 'n_estimators': 500}",0.8925025676138308,"{'criterion': 'entropy', 'n_estimators': 100}",0.8913377754997437,"{'criterion': 'entropy', 'n_estimators': 100}",0.8896027049873203,0.8924097495035597,0.003080678998234906
18,"{'criterion': 'gini', 'n_estimators': 1000}",0.8977310643977311,"{'criterion': 'gini', 'n_estimators': 500}",0.8904436860068259,"{'criterion': 'entropy', 'n_estimators': 500}",0.892239163954086,"{'criterion': 'entropy', 'n_estimators': 500}",0.8910823689584751,"{'criterion': 'gini', 'n_estimators': 500}",0.888964116452268,0.8920920799538772,0.003011333718718467
17,"{'criterion': 'gini', 'n_estimators': 1000}",0.898647520454166,"{'criterion': 'gini', 'n_estimators': 1000}",0.8917556599743699,"{'criterion': 'entropy', 'n_estimators': 1000}",0.892713417244627,"{'criterion': 'gini', 'n_estimators': 100}",0.889742276839051,"{'criterion': 'gini', 'n_estimators': 1000}",0.8898097251585624,0.8925337199341552,0.003262775729760088
