,feature,importance
0,mer8,0.49664450946956334
1,mer7,0.18327013244283727
2,mer6,0.10054224799510449
3,cpg,0.02710714157888913
4,gc,0.021052965493539365
5,gcs,0.02047194231713502
6,cm2,0.020284930952350892
7,cwf,0.018078199626937123
8,cm1,0.01767986928691763
9,ce,0.016854794624077782
10,ct6,0.00925000378766213
11,ct4,0.009172840621873853
12,ct5,0.008991256694029715
13,ct3,0.00864357001010057
14,cm3,0.007164890532750634
15,cl6,0.005805209955514995
16,cl5,0.005622025279653045
17,cl4,0.005521062420175926
18,cl3,0.005475955772665161
19,ct2,0.004174642568679361
20,cl2,0.004055145975772872
21,cm4,0.0026810505623122566
22,cm5,0.0007878281311424215
23,cl1,0.000250555276904886
24,ct1,0.00023159491694955075
25,cm6,0.00018563370646060704
