n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,6.879984378814697,0.0,0.2006666660308838,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8887368511075003,0.8887368511075003,0.0,10
26,12.979058504104614,0.0,0.3776876926422119,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8872578305026886,0.8872578305026886,0.0,12
26,24.14901900291443,0.0,0.6972930431365967,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8883205456095482,0.8883205456095482,0.0,11
26,34.5023934841156,0.0,0.9662034511566162,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8891163425452064,0.8891163425452064,0.0,9
26,43.84400296211243,0.0,1.2169008255004883,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8899684650132106,0.8899684650132106,0.0,2
26,53.589359283447266,0.0,1.4952361583709717,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8894759267149552,0.8894759267149552,0.0,5
26,7.40802526473999,0.0,0.1907978057861328,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8891354442263378,0.8891354442263378,0.0,7
26,14.377687931060791,0.0,0.35689544677734375,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8900995998978461,0.8900995998978461,0.0,1
26,26.14574432373047,0.0,0.6401886940002441,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8896451969709861,0.8896451969709861,0.0,3
26,36.7603805065155,0.0,0.8960590362548828,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8891346890155705,0.8891346890155705,0.0,8
26,46.97311735153198,0.0,1.1827847957611084,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8895695082525098,0.8895695082525098,0.0,4
26,56.8104727268219,0.0,1.4786906242370605,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8894373989275682,0.8894373989275682,0.0,6
25,6.8491599559783936,0.0,0.20612502098083496,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8873912301655008,0.8873912301655008,0.0,12
25,13.043210744857788,0.0,0.4111337661743164,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8891163425452064,0.8891163425452064,0.0,7
25,24.16269850730896,0.0,0.6744940280914307,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8887373177593998,0.8887373177593998,0.0,9
25,34.549360275268555,0.0,0.9441428184509277,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8880546075085324,0.8880546075085324,0.0,11
25,44.144869327545166,0.0,1.256662130355835,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8882633913340158,0.8882633913340158,0.0,10
25,53.21004676818848,0.0,1.4905202388763428,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8889268042996076,0.8889268042996076,0.0,8
25,7.49046516418457,0.0,0.19443607330322266,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8898933901918976,0.8898933901918976,0.0,6
25,14.17101502418518,0.0,0.3576962947845459,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8904810644831115,0.8904810644831115,0.0,4
25,25.92353892326355,0.0,0.6239275932312012,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8900995998978461,0.8900995998978461,0.0,5
25,36.88671278953552,0.0,0.8897745609283447,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8910081743869209,0.8910081743869209,0.0,3
25,46.941216707229614,0.0,1.1514701843261719,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8912543643021374,0.8912543643021374,0.0,1
25,56.9593288898468,0.0,1.4576444625854492,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8910654969764075,0.8910654969764075,0.0,2
24,5.785651683807373,0.0,0.22697162628173828,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.886289909509988,0.886289909509988,0.0,12
24,11.549419641494751,0.0,0.40631794929504395,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8867860187553281,0.8867860187553281,0.0,11
24,20.950992822647095,0.0,0.8090190887451172,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8885480572597138,0.8885480572597138,0.0,7
24,29.79498839378357,0.0,1.0095672607421875,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8892105935450907,0.8892105935450907,0.0,4
24,37.55160713195801,0.0,1.2927758693695068,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8894942959305295,0.8894942959305295,0.0,3
24,46.360644817352295,0.0,1.5829005241394043,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8895700297999148,0.8895700297999148,0.0,2
24,6.437821388244629,0.0,0.21483111381530762,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8887375500127692,0.8887375500127692,0.0,5
24,12.064881801605225,0.0,0.3993692398071289,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8877932675960558,0.8877932675960558,0.0,10
24,22.266220331192017,0.0,0.6554708480834961,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8883780332056194,0.8883780332056194,0.0,9
24,31.907791137695312,0.0,0.9325590133666992,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8897952247429688,0.8897952247429688,0.0,1
24,40.53510785102844,0.0,1.2084238529205322,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8885301614273576,0.8885301614273576,0.0,8
24,49.10314965248108,0.0,1.5227277278900146,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8885869565217391,0.8885869565217391,0.0,6
23,6.10984468460083,0.0,0.20966219902038574,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8892120797330824,0.8892120797330824,0.0,4
23,11.620283126831055,0.0,0.44110894203186035,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.889933344727397,0.889933344727397,0.0,1
23,21.160786151885986,0.0,0.7639927864074707,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8880737075584372,0.8880737075584372,0.0,11
23,30.471059560775757,0.0,1.0193853378295898,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8879030882102031,0.8879030882102031,0.0,12
23,39.149086236953735,0.0,1.2426798343658447,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8885855656031395,0.8885855656031395,0.0,9
23,47.646708965301514,0.0,1.5474355220794678,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.888282914358756,0.888282914358756,0.0,10
23,6.577696800231934,0.0,0.1856536865234375,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8886050076647931,0.8886050076647931,0.0,8
23,12.504573345184326,0.0,0.32964253425598145,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8887755102040816,0.8887755102040816,0.0,7
23,23.12575650215149,0.0,0.6432175636291504,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.889210347174949,0.889210347174949,0.0,5
23,32.89191269874573,0.0,0.9458286762237549,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.888926688212281,0.888926688212281,0.0,6
23,41.74451446533203,0.0,1.2077453136444092,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8898715877200442,0.8898715877200442,0.0,2
23,50.70380473136902,0.0,1.4912281036376953,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8897584212317113,0.8897584212317113,0.0,3
22,6.2149529457092285,0.0,0.22242379188537598,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8900273224043715,0.8900273224043715,0.0,2
22,11.939229249954224,0.0,0.39478611946105957,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8901014579248018,0.8901014579248018,0.0,1
22,21.55111289024353,0.0,0.7020869255065918,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8891919536310944,0.8891919536310944,0.0,3
22,31.168116331100464,0.0,0.9733459949493408,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.888775249296855,0.888775249296855,0.0,8
22,39.92679476737976,0.0,1.236642837524414,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8888131549799779,0.8888131549799779,0.0,7
22,47.88632011413574,0.0,1.535900354385376,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8891350660417555,0.8891350660417555,0.0,4
22,6.8488335609436035,0.0,0.2067394256591797,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8875820335804995,0.8875820335804995,0.0,12
22,12.996318101882935,0.0,0.37621259689331055,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8886052250872266,0.8886052250872266,0.0,10
22,23.72220277786255,0.0,0.6844367980957031,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8879244319632371,0.8879244319632371,0.0,11
22,33.38551044464111,0.0,0.9148633480072021,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8890967851675455,0.8890967851675455,0.0,5
22,42.348281145095825,0.0,1.208350658416748,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8889077917659067,0.8889077917659067,0.0,6
22,51.45254731178284,0.0,1.473196268081665,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8887565912570163,0.8887565912570163,0.0,9
21,6.270562410354614,0.0,0.19542312622070312,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.890708983875096,0.890708983875096,0.0,3
21,11.7682626247406,0.0,0.42460083961486816,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8901970821602253,0.8901970821602253,0.0,9
21,22.147508144378662,0.0,0.6831874847412109,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.890648952478283,0.890648952478283,0.0,4
21,31.26296353340149,0.0,0.9535143375396729,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8908378746594006,0.8908378746594006,0.0,1
