n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'gini', 'n_estimators': 600}",0.8976049403321371,"{'criterion': 'gini', 'n_estimators': 400}",0.89097263660387,"{'criterion': 'entropy', 'n_estimators': 600}",0.8916074942253401,"{'criterion': 'entropy', 'n_estimators': 200}",0.8900995998978461,"{'criterion': 'entropy', 'n_estimators': 800}",0.8888325730697754,0.8918234488257937,0.0030368784887998697
25,"{'criterion': 'entropy', 'n_estimators': 400}",0.8982105701206825,"{'criterion': 'gini', 'n_estimators': 800}",0.8903490058878745,"{'criterion': 'entropy', 'n_estimators': 600}",0.8918942052554995,"{'criterion': 'entropy', 'n_estimators': 800}",0.8912543643021374,"{'criterion': 'gini', 'n_estimators': 400}",0.8898857384680492,0.8923187768068486,0.003027412640082035
24,"{'criterion': 'gini', 'n_estimators': 600}",0.8964942959447081,"{'criterion': 'gini', 'n_estimators': 200}",0.8903654485049833,"{'criterion': 'entropy', 'n_estimators': 400}",0.8903137556638454,"{'criterion': 'entropy', 'n_estimators': 600}",0.8897952247429688,"{'criterion': 'entropy', 'n_estimators': 400}",0.8881195642995863,0.8910176578312183,0.0028568412299574404
23,"{'criterion': 'entropy', 'n_estimators': 600}",0.8968848908878894,"{'criterion': 'gini', 'n_estimators': 600}",0.8904972752043596,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8914735311724964,"{'criterion': 'gini', 'n_estimators': 200}",0.889933344727397,"{'criterion': 'gini', 'n_estimators': 800}",0.888663454222673,0.891490499242963,0.002846160812646404
22,"{'criterion': 'gini', 'n_estimators': 400}",0.8969889064976228,"{'criterion': 'gini', 'n_estimators': 800}",0.8910452843037112,"{'criterion': 'entropy', 'n_estimators': 800}",0.8923655638197829,"{'criterion': 'gini', 'n_estimators': 200}",0.8901014579248018,"{'criterion': 'entropy', 'n_estimators': 100}",0.8887197699983088,0.8918441965088455,0.0028346888451860194
21,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8979931717878258,"{'criterion': 'gini', 'n_estimators': 800}",0.890158621865939,"{'criterion': 'gini', 'n_estimators': 800}",0.8920075303782303,"{'criterion': 'gini', 'n_estimators': 600}",0.8908378746594006,"{'criterion': 'gini', 'n_estimators': 600}",0.8885694961109233,0.8919133389604639,0.003236979449392647
20,"{'criterion': 'gini', 'n_estimators': 1000}",0.8972990996999,"{'criterion': 'entropy', 'n_estimators': 200}",0.8907075873827791,"{'criterion': 'entropy', 'n_estimators': 800}",0.8926553672316385,"{'criterion': 'entropy', 'n_estimators': 600}",0.8907048008171604,"{'criterion': 'entropy', 'n_estimators': 800}",0.8892455858747994,0.8921224882012554,0.0028060511581236725
19,"{'criterion': 'entropy', 'n_estimators': 600}",0.8983502749541743,"{'criterion': 'entropy', 'n_estimators': 800}",0.8909710391822828,"{'criterion': 'entropy', 'n_estimators': 400}",0.8929427886262419,"{'criterion': 'entropy', 'n_estimators': 100}",0.8915456874466269,"{'criterion': 'entropy', 'n_estimators': 100}",0.8897152032451618,0.8927049986908976,0.0030071642152704856
18,"{'criterion': 'gini', 'n_estimators': 800}",0.8983064987069325,"{'criterion': 'entropy', 'n_estimators': 600}",0.8906889495225103,"{'criterion': 'entropy', 'n_estimators': 800}",0.8927685066324348,"{'criterion': 'entropy', 'n_estimators': 800}",0.8911379486307195,"{'criterion': 'gini', 'n_estimators': 600}",0.8890769100600727,0.892395762710534,0.0031807492351362617
17,"{'criterion': 'gini', 'n_estimators': 800}",0.8987563642433855,"{'criterion': 'gini', 'n_estimators': 1000}",0.8918318523581681,"{'criterion': 'entropy', 'n_estimators': 200}",0.8928663184036997,"{'criterion': 'gini', 'n_estimators': 200}",0.8908036171301825,"{'criterion': 'gini', 'n_estimators': 1000}",0.8898849797023004,0.8928286263675472,0.003127259936149897
