n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
26,6.891111373901367,0.0,0.2087082862854004,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.889917695473251,0.889917695473251,0.0,10
26,13.443653345108032,0.0,0.42052149772644043,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8904121326364492,0.8904121326364492,0.0,7
26,24.087181091308594,0.0,0.7001566886901855,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.890717408074055,0.890717408074055,0.0,5
26,34.47555756568909,0.0,0.9587574005126953,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.890392190443569,0.890392190443569,0.0,8
26,43.87891602516174,0.0,1.2445054054260254,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8901644962302948,0.8901644962302948,0.0,9
26,53.37391710281372,0.0,1.5325641632080078,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8910399177659757,0.8910399177659757,0.0,3
26,7.358031749725342,0.0,0.2171173095703125,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.889554281803405,0.889554281803405,0.0,12
26,14.194544076919556,0.0,0.346480131149292,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8898210769625888,0.8898210769625888,0.0,11
26,26.142228841781616,0.0,0.6638391017913818,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8905034618343448,0.8905034618343448,0.0,6
26,36.274577379226685,0.0,0.8960962295532227,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8917023096663815,0.8917023096663815,0.0,1
26,47.084561824798584,0.0,1.1790626049041748,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8911128218287572,0.8911128218287572,0.0,2
26,56.587260484695435,0.0,1.4491503238677979,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8909993155373032,0.8909993155373032,0.0,4
25,6.891387701034546,0.0,0.21984434127807617,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8893273850377489,0.8893273850377489,0.0,12
25,12.984189748764038,0.0,0.38872599601745605,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8905660377358491,0.8905660377358491,0.0,10
25,24.07758092880249,0.0,0.7219362258911133,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.891688089117395,0.891688089117395,0.0,2
25,34.60276556015015,0.0,0.9555566310882568,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8912112386499914,0.8912112386499914,0.0,6
25,43.7347366809845,0.0,1.2706618309020996,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8911349036402569,0.8911349036402569,0.0,7
25,53.32987308502197,0.0,1.51497220993042,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8914589222993232,0.8914589222993232,0.0,5
25,7.515203475952148,0.0,0.1853320598602295,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8907389923611706,0.8907389923611706,0.0,9
25,14.147876739501953,0.0,0.3893299102783203,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8904133081804151,0.8904133081804151,0.0,11
25,25.855584383010864,0.0,0.6248672008514404,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8914775160599572,0.8914775160599572,0.0,4
25,36.806623220443726,0.0,0.9000957012176514,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8919705529875022,0.8919705529875022,0.0,1
25,46.9621217250824,0.0,1.1526389122009277,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8914961034512289,0.8914961034512289,0.0,3
25,56.79609680175781,0.0,1.465308427810669,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8910958904109588,0.8910958904109588,0.0,8
24,6.029033422470093,0.0,0.2246379852294922,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.8884889003171339,0.8884889003171339,0.0,12
24,11.517451524734497,0.0,0.398118257522583,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.8888888888888888,0.8888888888888888,0.0,11
24,20.9662868976593,0.0,0.7190701961517334,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.8891935898534579,0.8891935898534579,0.0,9
24,30.08892035484314,0.0,1.0034618377685547,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.8896687494650347,0.8896687494650347,0.0,7
24,38.20340323448181,0.0,1.266740083694458,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.8896309615549277,0.8896309615549277,0.0,8
24,46.11783003807068,0.0,1.568983554840088,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.8898210769625888,0.8898210769625888,0.0,5
24,6.643048524856567,0.0,0.20920324325561523,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.8891553880418023,0.8891553880418023,0.0,10
24,12.343462705612183,0.0,0.35795164108276367,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.8898203592814372,0.8898203592814372,0.0,6
24,22.68213939666748,0.0,0.6738839149475098,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.8903137556638454,0.8903137556638454,0.0,1
24,31.995542287826538,0.0,0.9334511756896973,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.8898580468616384,0.8898580468616384,0.0,4
24,41.52342128753662,0.0,1.4700982570648193,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.8900666780646265,0.8900666780646265,0.0,3
24,50.05079436302185,0.0,1.522355556488037,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8901803264678233,0.8901803264678233,0.0,2
