n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'criterion': 'gini', 'n_estimators': 800}",0.8974958263772954,"{'criterion': 'gini', 'n_estimators': 400}",0.8908393694077545,"{'criterion': 'entropy', 'n_estimators': 600}",0.8917023096663815,"{'criterion': 'entropy', 'n_estimators': 200}",0.8903643173306095,"{'criterion': 'entropy', 'n_estimators': 400}",0.8887574964101698,0.8918318638384422,0.0029895728442923507
25,"{'criterion': 'gini', 'n_estimators': 1000}",0.8980817347789825,"{'criterion': 'gini', 'n_estimators': 1000}",0.8901398839986353,"{'criterion': 'entropy', 'n_estimators': 600}",0.8919705529875022,"{'criterion': 'entropy', 'n_estimators': 600}",0.8912728820774798,"{'criterion': 'gini', 'n_estimators': 400}",0.8900736227468901,0.8923077353178979,0.0029737021119171816
24,"{'criterion': 'gini', 'n_estimators': 600}",0.8963277541843617,"{'criterion': 'gini', 'n_estimators': 200}",0.890289608177172,"{'criterion': 'entropy', 'n_estimators': 400}",0.8903137556638454,"{'criterion': 'entropy', 'n_estimators': 600}",0.8900220975692674,"{'criterion': 'entropy', 'n_estimators': 800}",0.8883265856950068,0.8910559602579307,0.002736725486330912
23,"{'criterion': 'entropy', 'n_estimators': 800}",0.8967930029154519,"{'criterion': 'gini', 'n_estimators': 600}",0.8906675749318802,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8916631038905516,"{'criterion': 'gini', 'n_estimators': 200}",0.8902178556172575,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8886073811333502,0.8915897836976983,0.002782310076183614
22,"{'criterion': 'gini', 'n_estimators': 400}",0.8970293724966621,"{'criterion': 'gini', 'n_estimators': 800}",0.8909323116219667,"{'criterion': 'entropy', 'n_estimators': 800}",0.8924418604651162,"{'criterion': 'gini', 'n_estimators': 200}",0.890006821282401,"{'criterion': 'entropy', 'n_estimators': 100}",0.8889640591966173,0.8918748850125526,0.0028192628829151645
21,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8978266300274793,"{'criterion': 'gini', 'n_estimators': 800}",0.8902532617037606,"{'criterion': 'gini', 'n_estimators': 800}",0.8919496962956626,"{'criterion': 'gini', 'n_estimators': 400}",0.8909508810760195,"{'criterion': 'gini', 'n_estimators': 1000}",0.8888137884420412,0.8919588515089926,0.0031063602892293855
20,"{'criterion': 'gini', 'n_estimators': 800}",0.8973739057940808,"{'criterion': 'entropy', 'n_estimators': 200}",0.8909540455281781,"{'criterion': 'entropy', 'n_estimators': 400}",0.8926369863013699,"{'criterion': 'entropy', 'n_estimators': 600}",0.8907806248403849,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8895456848505321,0.8922582494629092,0.002740646292254519
19,"{'criterion': 'entropy', 'n_estimators': 600}",0.8983333333333334,"{'criterion': 'entropy', 'n_estimators': 800}",0.8911228488669278,"{'criterion': 'entropy', 'n_estimators': 400}",0.8926950415346407,"{'criterion': 'entropy', 'n_estimators': 100}",0.8913377754997437,"{'criterion': 'entropy', 'n_estimators': 100}",0.8896027049873203,0.8926183408443931,0.0030211728061655813
18,"{'criterion': 'gini', 'n_estimators': 800}",0.8982895285773884,"{'criterion': 'entropy', 'n_estimators': 600}",0.890518417462483,"{'criterion': 'entropy', 'n_estimators': 800}",0.893034400136916,"{'criterion': 'entropy', 'n_estimators': 400}",0.8909137358426297,"{'criterion': 'gini', 'n_estimators': 400}",0.8892086330935253,0.8923929430225884,0.0031944613979717437
17,"{'criterion': 'gini', 'n_estimators': 800}",0.8987394607229318,"{'criterion': 'gini', 'n_estimators': 1000}",0.8917556599743699,"{'criterion': 'entropy', 'n_estimators': 200}",0.8930375952727584,"{'criterion': 'gini', 'n_estimators': 200}",0.8906903319395854,"{'criterion': 'gini', 'n_estimators': 1000}",0.8898097251585624,0.8928065546136417,0.0031564701620540557
16,"{'criterion': 'entropy', 'n_estimators': 200}",0.8985870746593094,"{'criterion': 'gini', 'n_estimators': 1000}",0.8905034618343448,"{'criterion': 'gini', 'n_estimators': 800}",0.8929092000342965,"{'criterion': 'gini', 'n_estimators': 200}",0.8911483253588517,"{'criterion': 'gini', 'n_estimators': 800}",0.8899230053304003,0.8926142134434405,0.0031498822051736863
15,"{'criterion': 'gini', 'n_estimators': 1000}",0.8976049403321371,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8904424929661522,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8909822728440525,"{'criterion': 'entropy', 'n_estimators': 100}",0.889798703514159,"{'criterion': 'entropy', 'n_estimators': 400}",0.8894519043999661,0.8916560628112933,0.0030207279357090887
14,"{'criterion': 'entropy', 'n_estimators': 100}",0.8977168185999832,"{'criterion': 'entropy', 'n_estimators': 1000}",0.8904436860068259,"{'criterion': 'entropy', 'n_estimators': 600}",0.8920469137916274,"{'criterion': 'entropy', 'n_estimators': 800}",0.890308295009368,"{'criterion': 'gini', 'n_estimators': 600}",0.8886821180849264,0.8918395662985462,0.003125630828143312
13,"{'criterion': 'gini', 'n_estimators': 200}",0.8986040290896933,"{'criterion': 'entropy', 'n_estimators': 600}",0.8906903319395854,"{'criterion': 'entropy', 'n_estimators': 600}",0.8919127086007702,"{'criterion': 'entropy', 'n_estimators': 100}",0.8902168345569403,"{'criterion': 'gini', 'n_estimators': 800}",0.8887006606810096,0.8920249129735998,0.0034466872817897182
