,feature,importance
0,mer8,0.49529167530848267
1,mer7,0.18257941981943027
2,mer6,0.10057655884323534
3,cpg,0.029205232296499288
4,gc,0.020477074540978777
5,cm2,0.0203728845705313
6,gcs,0.02032388889998652
7,cm1,0.018131259688263946
8,ce,0.0179951466722318
9,cwf,0.0164504112282545
10,ct5,0.009721985951544646
11,ct6,0.00945624337284751
12,ct4,0.009425730351080339
13,ct3,0.008416951101871423
14,cm3,0.007154777964531349
15,cl5,0.005716476181955536
16,cl6,0.005634796430570295
17,cl4,0.005342970272637199
18,cl3,0.005135559692547542
19,ct2,0.004347950321041829
20,cl2,0.004076498687651746
21,cm4,0.0025531206559706453
22,cm5,0.0008147018611250196
23,cl1,0.0003266422179193469
24,ct1,0.0002914566984068711
25,cm6,0.0001805863704043861
