n_features,params_split_0,score_split_0,params_split_1,score_split_1,params_split_2,score_split_2,params_split_3,score_split_3,params_split_4,score_split_4,mean_scores,std_scores
26,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.89849940988029,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8909544711248817,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8950333708936467,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8934001382170008,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8904660111158615,0.8936706802463361,0.0029289740488784655
25,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8982722292456805,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8911266029778809,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8950333708936467,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8935949520269687,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8906370243693885,0.893732835902713,0.0027818337209960767
24,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8981208393022667,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8913754518850061,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8948235498135784,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8929589632829373,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8904660111158615,0.8935489630799299,0.0027240949697697643
23,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8981621986174337,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8911078591719033,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.894841785869094,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8935765539897985,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8901813205610672,0.8935739436418594,0.0028372866767121265
22,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8979695003791389,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8910107526881722,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8945725680596497,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8936133437040877,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8903898768809849,0.8935112083424066,0.002720598189264134
21,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.897911051212938,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8912781696198177,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8947644895815093,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8937456807187284,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8905982905982905,0.8936595363462569,0.0026209103068150948
20,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8981894736842105,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8915061898211829,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8945110741486474,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8937273198548471,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.890655723689835,0.8937179562397446,0.00264169532046662
19,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8982993769994949,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.891678129298487,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8944986072423398,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8937456807187284,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8908453713992648,0.893813433131663,0.0026064020888589587
18,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8984506567867969,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8914482165878814,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8938430723678482,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8933413939027549,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8915086280539893,0.8937183935398542,0.002552988674893634
17,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8983921205488676,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8914875322441961,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8938391924817264,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8925290344947131,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8908237302603501,0.8934143220059706,0.002689476217072068
16,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8981652920383772,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.890990371389271,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8940681678787348,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8934334282509276,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.891467576791809,0.8936249672698239,0.0025472766676548388
15,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8978286483756944,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.890990371389271,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8947732779508482,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8927831491712708,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8912783751493428,0.8935307644072854,0.002533828293639372
14,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.898628754101119,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.891638738506488,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8945410502638637,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8932239965472594,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8915436470688626,0.8939152372975185,0.0026035968681694228
13,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8988896366083445,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8919058257432548,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8949463482173763,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8932642487046633,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8913915194949236,0.8940795157537125,0.002701983481308487
12,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8984381595609963,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8915289256198348,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8938828633405639,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8932390479475681,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8912783751493428,0.8936734743236612,0.002579549753171188
11,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8981965278948255,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8920082673096797,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8930499912907159,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8938884578915611,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.891601229088426,0.8937488946950417,0.0023635412493431167
10,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8970166863306926,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8917383820998279,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8932584269662922,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8936573595311962,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.892113349265961,0.893556840838794,0.0018686971815035855
9,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.897718663187137,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.891926747485169,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8933965577801195,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8938480096501809,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8916218293620293,0.8937023614929271,0.002178385991858961
8,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8984677555143964,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8924241121334594,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8930044764328974,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8938297138917616,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8908423657932918,0.8937136847531612,0.0025700232728968525
7,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8984092248127262,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8919662824703251,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8928199791883455,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8934850051706309,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8910130579499872,0.893538709918403,0.0025726569667609443
6,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8972891059100858,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8914295538554113,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8927425648140119,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8931955211024978,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8917327873048374,0.8932779065973688,0.002106508941731257
5,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8978009941865364,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8907794105009883,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8931264626852734,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8928325292901448,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8906889495225102,0.8930456692370907,0.0025828328658713687
4,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8984532616005381,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8904168457241082,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8923716339076976,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8908762576317825,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8916709248850281,0.8927577847498309,0.002925370855588878
3,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8978666218713254,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.888850742425543,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8927179842410597,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8909512761020882,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8909710391822828,0.8922715327644598,0.0030541941257677414
2,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.897571632635913,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8881064834693001,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.892241005635024,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8915828389648354,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.889722814498934,0.8918449550408013,0.0032093627828333076
1,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8665499708260399,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8626883459606709,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8593535075653371,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8596581196581196,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8610243861277529,0.8618548660275842,0.002627199402396969
